CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
90696079,2018,2018-04-03,9165,2018-03-30,1115,018600,,5,1,9,4600,0,1,3,,2,074,SR-89,SR-49,528.00,S,N,A,-,Y,,,89,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",39.620220184326172,-120.43531036376953,SIERRA,UNINCORPORATED,-120.43523406982422,39.620212554931641
91505225,2021,2021-06-24,9230,2021-06-07,1845,017889,,1,2,9,4600,0,1,3,,1,091,SR-49,"BRANDY CITY RD",389.00,N,N,A,-,Y,,,,,,,,,,N,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",39.579319000244141,-120.995361328125,SIERRA,UNINCORPORATED,-120.99669647216797,39.519309997558594
92166750,2023,2023-09-11,9165,2023-09-04,1818,019583,,1,2,9,4600,0,1,3,,2,074,SR-89,"BECKWOURTH-CALPINE RD",3696.00,S,N,A,-,Y,SIE,,89," "," ",18.331,H,,R,N,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",39.605819702148438,-120.42079925537109,SIERRA,UNINCORPORATED,-120.42081451416016,39.605819702148438
91261951,2020,2020-07-02,9165,2020-06-28,1802,019781,,7,2,9,4600,0,1,3,,2,072,SR-49,"GENASCI RD",597.00,S,N,A,-,Y,,,49,,,,,,,Y,2,0,2,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",39.68048095703125,-120.28497314453125,SIERRA,UNINCORPORATED,-120.28497314453125,39.680461883544922
90398693,2017,2017-02-23,9165,2017-02-18,0700,018243,,6,1,9,4600,0,1,3,,2,071,"US-395  N/B","CA/NV STATE LINE",385.00,N,N,B,-,Y,,,395,,,,,,N,Y,2,0,2,1,A,-,03,22350,,N,F,A,A,C,H,-,A,D,0,,,,,Y,,D,22,1,0,1,0,0,0,0,0,0,"- ","- ",39.674599999999998,-120.00176999999999,SIERRA,UNINCORPORATED,-120.00174004,39.674627340000001
90506283,2017,2017-07-24,9165,2017-07-14,1740,018600,,5,2,9,4600,0,1,3,,2,074,SR-89,"WILLOW ST",0.00,,Y,A,-,Y,,,89,,,,,,,N,2,0,1,2,A,-,09,21801,A,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,A,07,1,0,0,0,0,0,0,0,1,"- ","- ",39.577629999999999,-120.37005000000001,SIERRA,UNINCORPORATED,-120.37001662999999,39.577625480000002
90275385,2016,2016-09-26,9285,2016-09-17,1400,017393,,6,2,9,4600,0,3,5,,1,008,"JOHNSVILLE MC CREA RD","QUINCY-LA PORTE RD",3168.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,03,22350,,N,E,J,A,A,B,-,A,D,0,,,Y,,Y,,C,06,1,0,0,0,0,0,0,0,1,"- ","- ",39.748579999999997,-120.90337,SIERRA,UNINCORPORATED,-120.90902478,39.742324879999998
91833752,2022,2022-08-05,9165,2022-07-29,1728,019781,,5,2,9,4600,0,1,3,,2,074,SR-89,"OLD TRUCKEE RD",11088.00,S,N,A,-,Y,SIE,,89,,,11.871,H,,R,Y,2,0,5,2,A,-,05,21460,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,,D,22,4,1,0,0,0,0,0,0,0,"- ","- ",39.555858612060547,-120.33933258056641,SIERRA,UNINCORPORATED,-120.33933258056641,39.555862426757812
90907801,2019,2019-02-27,9165,2019-01-15,1920,018243,,2,2,9,4600,0,1,3,,2,074,SR-89,"SIERRA/PLUMAS COUNTY LINE",3168.00,S,N,B,D,Y,,,89,,,,,,,Y,1,1,0,1,A,-,03,22350,,N,E,I,A,C,E,-,D,A,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",39.695899963378906,-120.52169799804688,SIERRA,UNINCORPORATED,-120.52165222167969,39.696002960205078
94687213,2025,2025-05-14,9230,2025-05-08,1800,019235,,4,2,9,4600,0,3,5,,2,090,"MAIN STREET","MINERS STREET",290.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,Y,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",39.470291137695312,-120.8436279296875,SIERRA,UNINCORPORATED,-120.84377288818359,39.468929290771484
91802667,2022,2022-06-24,9222,2022-06-21,0828,014397,,2,1,9,4600,0,1,1,,2,025,"I-80 E/B","SIERRA COUNTY LINE",1584.00,E,N,A,-,Y,SIE,,80,,,0.306,H,,R,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",39.449729919433594,-120.00904083251953,SIERRA,UNINCORPORATED,-120.00914001464844,39.449733734130859
6511011,2014,2014-08-09,9165,2014-05-21,1830,020692,,3,2,9,4600,0,3,5,,2,007,"BECKWOURTH CALPINE RD","CALPINE RD",7920.00,S,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,07,1,1,0,0,0,0,0,0,0,"- ","- ",39.643790000000003,-120.41853,SIERRA,UNINCORPORATED,,
91023527,2019,2019-07-03,9165,2019-07-01,1444,019583,,1,2,9,4600,0,1,3,,2,074,SR-89,"WILSON LN",156.00,N,N,A,-,Y,,,89,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",39.592880249023438,-120.38217163085938,SIERRA,UNINCORPORATED,-120.38217926025391,39.592830657958984
90411453,2017,2017-03-13,9165,2017-03-06,1344,019781,,1,1,9,4600,0,3,5,,2,007,"A-23 (WESTSIDE ROAD)",SR-89,9504.00,N,N,B,-,N,,,,,,,,,,Y,2,0,4,1,A,-,08,22107,,N,F,A,A,B,H,-,A,D,0,,,,,Y,,A,07,2,2,0,0,0,0,0,0,0,"- ","- ",39.638739999999999,-120.41855,SIERRA,UNINCORPORATED,-120.41845769,39.639045289999999
