CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
90696079,1,1,Y,M,67,A,-,N,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,N,2012,BMW,C,02,,W,,-,-,2018
91505225,1,1,Y,M,47,A,-,N,-,W,Y,-,3,-,-,"- ",,,N,-,0,1,H,2005,SUZI,C,02,,W,,-,-,2021
92166750,1,1,Y,M,18,A,-,N,P,W,N,-,3,-,-,"- ",,,N,-,0,1,C,2004," KAWASAKI",C,02,,W,,-,-,2023
91261951,1,1,Y,M,49,A,I,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,C,2020,NISSAN,A,01,,W,,-,-,2020
90398693,1,1,Y,M,34,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,1997,DODGE,D,22,,H,,-,-,2017
90506283,1,1,Y,F,41,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2017,TOYOTA,A,07,,W,,-,-,2017
90506283,2,1,N,M,71,A,-,S,-,W,Y,-,3,-,-,"- ",,,N,-,0,1,E,2009,KAWA,C,02,,W,,-,-,2017
90275385,1,1,Y,M,23,A,-,N,P,V,N,-,3,-,-,"- ",,,N,-,0,1,B,2003,YAMA,C,06,,W,,-,-,2016
91833752,1,1,Y,M,18,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,N,2005," GMC",D,22,,W,,-,-,2022
91833752,2,1,N,M,54,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,3,B,2005," CHEVROLET",D,22,,W,,-,-,2022
90907801,1,1,Y,M,72,G,G,S,P,H,Y,-,3,-,,43,27459,,A,-,1,0,C,1976,PORS,A,01,,W,,-,-,2019
94687213,1,1,Y,M,77,C,-,S,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,A,2020,HOND,C,02,,W,,-,-,2025
91802667,1,1,Y,M,51,G,G,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,R,2010,NISS,A,01,,W,,-,-,2022
91023527,1,1,Y,M,68,A,-,N,-,W,N,-,3,-,-,"- ",,,N,-,0,1,C,2015,TRIU,C,02,35,W,,-,-,2019
90411453,1,1,Y,M,50,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,4,M,2000,CHEV,A,07,,H,,-,-,2017
90869107,1,1,Y,F,21,G,G,S,L,H,N,-,3,-,-,"- ",,,N,-,0,2,C,2004,HONDA,A,01,,H,,-,-,2018
91333530,1,1,Y,M,39,A,-,N,-,W,N,-,3,E,-,"- ",,,N,-,0,2,N,1989,KAWA,C,02,,W,,-,-,2020
91333530,2,1,N,M,61,A,-,S,M,G,Y,-,3,E,-,"- ",,,N,-,0,0,B,2003,FORD,H,14,,W,,-,-,2020
90560776,1,1,Y,F,26,B,-,S,L,H,N,-,3,-,,31,22107,,A,-,0,2,R,2002,JEEP,A,07,,O,,-,-,2017
91055177,1,1,Y,M,53,A,-,S,P,G,Y,-,3,-,-,"- ",,,N,-,0,1,N,2019,POLARIS,C,06,,W,,-,-,2019
91055177,2,1,N,M,26,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2015,RAM,D,22,,W,,-,-,2019
91053616,1,1,Y,M,51,A,-,N,-,W,Y,-,3,-,-,"- ",,,F,-,0,1,M,2006,HARL,C,02,,W,K,-,-,2019
