CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6672325,2014,2016-06-13,9145,2014-10-10,0822,18485,,5,1,2,4709,0,1,3,,1,061,"RT 96","ASH CREEK RD",5280.00,W,N,A,-,Y,SIS,2,96,-,-,100.560,H,-,E,Y,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,,Y,Y,,G,25,1,0,0,0,0,0,0,0,0,"- ","- ",,,SISKIYOU,YREKA,-122.63605192999999,41.835332260000001
90225552,2016,2016-07-19,9146,2016-07-13,1605,013820,,3,2,2,4708,0,1,1,,2,010,"I-5 N/B","VISTA DRIVE",326.00,S,N,A,-,Y,,,5,,,,,,N,Y,2,0,1,1,C,-,18,,,N,E,J,A,A,D,-,A,D,0,,,,,Y,,-,"- ",1,0,0,0,0,0,0,0,0,"- ","- ",41.396039999999999,-122.37916,SISKIYOU,WEED,-122.37919103,41.395995710000001
91299389,2020,2020-09-04,9145,2020-09-02,1015,016580,,3,1,2,4709,0,3,5,,2,003,"EDGEWOOD RD","OLD HIGHWAY 99",2375.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,1,B,-,22,,,N,F,A,A,A,H,-,A,D,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",41.436988830566406,-122.42990112304688,SISKIYOU,YREKA,,
91514820,2021,2021-07-07,9145,2021-06-24,0357,021333,,4,3,9,4700,0,3,5,,2,005,"AGER ROAD","SHELLEY RD",15.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",41.771560668945312,-122.52462768554688,SISKIYOU,UNINCORPORATED,-122.52478790283203,41.771450042724609
94705554,2025,2025-05-29,9145,2025-05-21,"0   ",019614,,3,3,9,4700,0,3,5,,2,001,"ELK CREEK ROAD","CURLY JACK ROAD",50.00,E,N,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,05,21460,,N,A,C,A,A,H,-,D,D,0,,,,,Y,,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",41.786861419677734,-123.38363647460938,SISKIYOU,UNINCORPORATED,-123.38356018066406,41.786907196044922
90590784,2017,2017-11-08,9145,2017-11-07,0815,016340,,2,1,2,4709,0,1,1,,2,071,"INTERSTATE 5 N/B","FOOTHILL DRIVE",2112.00,S,N,B,-,Y,,,5,,,,,,N,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",41.725299999999997,-122.6354,SISKIYOU,YREKA,-122.63537281000001,41.725287899999998
91829437,2022,2022-08-01,9145,2022-07-14,2230,021333,,4,3,9,4700,0,1,3,,1,060,"STATE ROUTE 263","OLD SHASTA RIVER ROAD",1519.00,N,N,A,-,Y,SIS,,263,,,52.437,H,,R,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",41.777481079101562,-122.59705352783203,SISKIYOU,UNINCORPORATED,-122.59712219238281,41.777538299560547
91806286,2022,2022-06-29,9145,2022-06-25,1225,015241,,6,1,9,4700,0,1,2,,1,043,US-97,"HORSETHEIF CREEK RD",1056.00,N,N,A,-,Y,SIS,,97,,,29.010,H,,R,N,2,0,1,1,A,-,16,27465,B,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",41.687770843505859,-122.04859924316406,SISKIYOU,UNINCORPORATED,-122.04859161376953,41.687740325927734
91346561,2020,2020-11-17,9146,2020-11-09,1445,019430,,1,2,9,4700,0,1,1,,2,010,"I-5 N/B","CHAPARRAL DR",856.00,S,N,B,-,Y,,,5,,,,,,N,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",41.422779083251953,-122.39497375488281,SISKIYOU,UNINCORPORATED,-122.39498901367188,41.422718048095703
91391328,2021,2021-01-20,9145,2021-01-18,0610,017835,,1,1,9,4700,0,1,1,,2,070,"I-5 S/B",SR-96,25872.00,S,N,A,-,Y,,,5,,,,,,S,Y,2,0,1,1,A,-,03,22350,,N,F,A,A,C,H,-,B,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",41.793838500976562,-122.58817291259766,SISKIYOU,UNINCORPORATED,-122.58824157714844,41.793895721435547
