CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6515156,2014,2016-01-28,9365,2014-05-10,2015,017735,,6,2,5,4803,0,1,3,,2,122,"RT 12","CHADBOURNE RD",2153.00,E,N,A,-,Y,SOL,4,12,-,L,2.660,H,-,W,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,B,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.240279999999998,-122.07778,SOLANO,FAIRFIELD,-122.07650083,38.240106300000001
6671493,2014,2014-11-12,4802,2014-09-24,0750,1211,4802,3,5,3,4802,0,0,0,,0,002,"W CHESTNUT ST","S JACKSON ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,2,3,A,-,03,22350,,N,G,B,D,A,H,-,B,D,0,Y,,,,Y,,-,,1,1,0,0,2,0,0,0,0,"- ","- ",,,SOLANO,DIXON,-121.82377987,38.44154992
6718677,2017,2018-03-01,4803,2017-12-02,0120,476,,6,5,5,4803,0,0,0,,0,0CE,"AIR BASE PKWY","NORTH TEXAS ST",1459.00,W,N,B,-,N,,,,,,,,,,Y,1,1,0,3,A,-,01,23152,A,N,B,C,A,A,H,-,D,D,0,,,,,Y,Y,A,08,0,0,0,0,0,0,0,0,0,"- ","- ",38.272930000000002,-122.03417,SOLANO,FAIRFIELD,-122.03930049,38.272852139999998
7190271,2016,2016-07-28,4807,2016-04-29,0945,586,VALLJ,5,5,6,4807,0,0,0,,0,005,"COUCH ST","MICHIGAN ST",258.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,Y,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",,,SOLANO,VALLEJO,-122.25250058,38.117598399999999
8096300,2016,2016-08-08,4805,2016-02-15,1419,5L80,,1,5,4,4805,0,0,0,,0,001,"MERGANSER DR","REDBUD WY",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,4,1,A,-,03,22350,,N,-,J,A,A,H,-,A,D,0,,,,,Y,,A,01,1,3,0,0,0,0,0,0,0,"- ","- ",38.246740000000003,-122.02382,SOLANO,"SUISUN CITY",-122.02382,38.246609900000003
84771360,2025,2025-07-22,4803,2025-05-24,1500,1839,,6,5,5,4803,0,0,0,,0,00W,"GATEWAY BOULEVARD","GATEWAY COURT",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,12,21453,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",38.259349822998047,-122.05711364746094,SOLANO,FAIRFIELD,-122.05719757080078,38.259334564208984
91891581,2022,2022-10-17,9365,2022-10-08,0345,020217,,6,3,3,4802,0,1,1,,2,086,"I-80 E/B","PEDRICK RD",800.00,W,N,A,-,Y,SOL,,80,,,39.269,H,,R,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,Y,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",38.483730316162109,-121.80998229980469,SOLANO,DIXON,-121.80999755859375,38.483745574951172
90902308,2019,2019-01-11,9365,2019-01-03,0219,020222,,4,3,3,4802,0,1,1,,2,088,"I-80 E/B","A ST",400.00,W,N,A,-,Y,,,80,,,,,,E,Y,2,0,2,3,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,Y,Y,,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",38.444709777832031,-121.85994720458984,SOLANO,DIXON,-121.85997009277344,38.444732666015625
91133226,2019,2019-12-02,9365,2019-11-21,1820,018192,,4,2,5,4803,0,1,1,,2,084,"I-80 E/B","MANUAL CAMPOS PKWY",1765.00,W,N,A,-,Y,,,80,,,,,,E,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,B,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",38.288749694824219,-122.03646850585938,SOLANO,FAIRFIELD,-122.03649139404297,38.288768768310547
91230587,2020,2020-04-28,9365,2020-04-15,1733,018634,,3,2,9,4800,0,3,5,,2,040,"PEDRICK RD.","6347 PEDRICK RD.",461.00,S,N,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,05,21651,B,N,A,C,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",38.362701416015625,-121.8046875,SOLANO,UNINCORPORATED,,
