CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6905538,2015,2015-07-11,9360,2015-06-05,1520,018859,,5,2,9,4900,0,2,4,,1,032,"RIVER RD","LAUGHLIN RD",950.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",38.49492,-122.78427000000001,SONOMA,UNINCORPORATED,-122.78460733,38.494372570000003
9247349,2021,2021-04-13,4905,2021-02-24,1732,1060575,,3,5,6,4905,0,0,0,,0,005,"SEBASTOPOL RD","DUTTON AV",279.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,G,B,E,A,H,-,A,D,0,Y,,,,Y,Y,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",38.430309295654297,-122.72724914550781,SONOMA,"SANTA ROSA",-122.72622680664062,38.430385589599609
82109118,2023,2023-07-04,4905,2023-05-21,"852 ",1068926,,7,5,6,4905,0,0,0,,0,,"HIDDEN VALLEY DR","ROLLING HILL DR",26.00,S,N,B,-,N,,,,,,,,,,N,2,0,1,2,A,-,09,21801,A,N,A,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",,,SONOMA,"SANTA ROSA",-122.69921875,38.466640472412109
90231726,2016,2016-07-27,9360,2016-07-10,1041,015420,,7,1,9,4900,0,2,4,,1,054,"BLOOMFIELD RD","CANFIELD RD",498.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,03,22350,,N,F,A,A,A,A,-,A,D,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",38.353360000000002,-122.81701,SONOMA,UNINCORPORATED,-122.81703121,38.353434049999997
90342715,2016,2016-12-12,9360,2016-12-02,1651,020326,,5,2,9,4900,0,2,4,,1,047,"LAKEVILLE RD","OLD LAKEVILLE NO 3 RD",75.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,B,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",38.158569999999997,-122.49969,SONOMA,UNINCORPORATED,-122.52291701,38.173180510000002
91027903,2019,2019-07-10,9360,2019-07-04,1510,018881,,4,2,9,4900,0,1,3,,1,061,SR-1,"FORT ROSS ROAD",5808.00,N,N,B,-,Y,,,1,,,,,,,Y,2,0,4,2,A,-,05,21460,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,,A,01,1,3,0,0,0,0,0,0,0,"- ","- ",38.523040771484375,-123.26315307617188,SONOMA,UNINCORPORATED,-123.2633056640625,38.5230712890625
91124485,2019,2019-11-20,9360,2019-11-09,1635,019083,,6,2,9,4900,0,3,5,,2,006,"BAY HILL RD","3000 BAY HILL RD",500.00,S,N,A,-,N,,,,,,,,,,Y,2,0,4,3,A,-,06,21750,,N,A,C,A,A,E,-,A,D,0,,,,,Y,,A,07,2,2,0,0,0,0,0,0,0,"- ","- ",38.345939636230469,-123.03137969970703,SONOMA,UNINCORPORATED,,
91317517,2020,2020-10-05,9360,2020-09-27,1540,020803,,7,2,9,4900,0,1,3,,1,061,SR-1,"KRUSE RANCH RD",1800.00,N,N,A,-,Y,,,1,,,,,,,Y,2,0,2,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",38.599018096923828,-123.34967803955078,SONOMA,UNINCORPORATED,-123.34966278076172,38.599044799804688
91327779,2020,2020-10-21,9360,2020-10-13,1555,020731,,2,2,9,4900,0,2,4,,1,046,"BENNETT VALLEY RD","ENTERPRISE RD",1000.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,05,21460,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",38.387889862060547,-122.57608032226562,SONOMA,UNINCORPORATED,-122.57597351074219,38.38787841796875
91392495,2021,2021-01-22,9360,2021-01-04,0820,017693,,1,1,9,4900,0,1,3,,1,051,SR-12,"MERCED AVE",1584.00,W,N,B,C,Y,,,,,,,,,,Y,1,1,4,4,A,-,05,21650,,N,A,C,A,B,H,-,A,D,0,,,,Y,Y,,A,01,1,1,2,0,0,0,0,0,0,"- ","- ",38.423381805419922,-122.78058624267578,SONOMA,UNINCORPORATED,-122.78318786621094,38.418537139892578
