CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6725152,2014,2016-04-09,9465,2014-11-21,2105,018894,,5,2,9,5000,0,1,3,,2,041,"RT 99","GOLF RD",150.00,S,N,A,-,Y,STA,10,99,-,R,0.520,H,-,N,Y,2,0,2,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,1,,,,,Y,,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",37.466630000000002,-120.83019,STANISLAUS,UNINCORPORATED,-120.83070368,37.466791219999998
8281621,2016,2017-03-06,5002,2016-12-21,0640,10545,410,3,5,6,5002,0,0,0,,0,041,"RT 132","9TH ST",186.00,E,N,A,-,Y,STA,10,130,-,-,15.020,H,-,E,N,2,0,1,2,A,-,11,21954,A,F,G,B,D,A,H,-,B,D,0,Y,,,,Y,,N,,1,0,0,0,1,0,0,0,0,"- ","- ",,,STANISLAUS,MODESTO,,
8404844,2018,2018-06-22,5007,2018-04-01,1818,5505,TURLO,7,5,5,5007,0,0,0,,0,004,"JUBILEE DR",VICTORY,0.00,,Y,A,-,N,,,,,,,,,,N,1,1,0,1,D,-,00,,,N,-,A,A,A,H,-,A,D,0,,,,,Y,Y,-,"- ",0,0,0,0,0,0,0,0,0,"- ","- ",,,STANISLAUS,TURLOCK,-120.87592315673828,37.516510009765625
9813683,2025,2025-06-02,5004,2025-05-04,"59  ",384,RD37,7,5,3,5004,0,0,0,,0,031,"EAST F ST","N 6TH AV",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,2,3,A,-,10,21950,A,N,G,B,B,A,H,-,C,D,0,Y,,,,Y,,I,11,2,0,0,0,2,0,0,0,0,"- ","- ",37.767791748046875,-120.84364318847656,STANISLAUS,OAKDALE,-120.84349060058594,37.768112182617188
81803202,2022,2022-06-27,5002,2022-05-05,1907,13325,,4,5,6,5002,0,0,0,,0,MP31,"CROWS LANDING RD","AMADOR AVE",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,Y,Y,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",37.607509613037109,-120.99430084228516,STANISLAUS,MODESTO,-120.99356842041016,37.607635498046875
91068508,2019,2019-09-05,9465,2019-08-29,1637,018671,,4,2,9,5000,0,3,5,,2,020,"26 MILE ROAD","HINDS ROAD",155.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",37.827239990234375,-120.86917114257812,STANISLAUS,UNINCORPORATED,-120.869077,37.827317000000001
91904079,2022,2022-10-28,9465,2022-09-24,1143,018259,,6,1,9,5000,0,3,5,,2,050,"RIVER ROAD","OAKLEA ROAD",2932.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,Y,Y,,F,27,1,0,0,0,0,0,0,0,0,"- ","- ",37.600101470947266,-121.22514343261719,STANISLAUS,UNINCORPORATED,-121.22511291503906,37.600078582763672
92434888,2024,2024-07-10,9465,2024-06-07,2025,021239,,5,2,9,5000,0,2,4,,2,042,"CROWS LANDING ROAD","PECOS AVENUE",195.00,N,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,09,21804,A,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,0,0,0,0,1,0,0,0,"- ","- ",37.61724853515625,-120.99356079101562,STANISLAUS,UNINCORPORATED,-120.99358367919922,37.617237091064453
94541435,2024,2025-01-17,9465,2024-08-24,2500,023200,,6,4,9,5000,0,3,5,,2,040,"MORGAN ROAD","MARCHY LANE",576.00,S,N,B,-,N,,,,,,,,,,N,1,1,0,2,A,-,03,22350,,F,G,B,E,A,H,-,D,D,0,Y,,,,Y,,-,99,0,0,0,1,0,0,0,0,0,"- ","- ",37.570938110351562,-120.97541046142578,STANISLAUS,UNINCORPORATED,-120.97536468505859,37.570968627929688
6718176,2014,2015-03-13,9465,2014-11-05,2108,19073,,3,2,9,5000,0,1,3,,2,012,"RT 132","GATES RD",2640.00,W,N,A,-,Y,STA,10,132,-,-,5.850,H,-,E,N,1,1,0,2,A,-,11,21954,A,N,G,B,E,A,H,-,D,D,0,Y,,,Y,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",37.637779999999999,-121.16943999999999,STANISLAUS,UNINCORPORATED,-121.16786915,37.637835920000001
