CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
91069560,2019,2019-09-06,9285,2019-08-30,2115,016343,,5,2,9,5100,0,3,5,,1,007,"1190 PENNINGTON RD","SHELDON AVE",3696.00,E,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,12,22450,A,N,E,I,A,A,H,-,C,D,0,,,,,Y,Y,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",39.276111602783203,-121.63139343261719,SUTTER,UNINCORPORATED,-121.63255310058594,39.276050567626953
91964286,2022,2023-01-10,9285,2022-12-28,1500,016343,,3,2,9,5100,0,1,3,,1,010,SR-70,"KEMPTON ROAD",0.00,,Y,A,-,Y,SUT,,70,,,7.019,H,,R,N,2,0,2,3,A,-,09,21801,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,07,1,1,0,0,0,0,0,0,0,"- ","- ",38.953731536865234,-121.54357147216797,SUTTER,UNINCORPORATED,-121.54358673095703,38.953731536865234
94691510,2025,2025-05-19,9285,2025-05-10,1130,021567,,6,1,9,5100,0,1,3,,1,011,SR-99,"W CATLETT RD",0.00,,Y,A,-,Y,SUT,,99," "," ",7.078,H,,R,Y,2,0,3,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,Y,D,22,1,2,0,0,0,0,0,0,0,"- ","- ",38.837581634521484,-121.54386138916016,SUTTER,UNINCORPORATED,-121.54355621337891,38.837577819824219
8507126,2017,2018-05-08,5102,2017-09-27,0625,4073,1,3,5,4,5102,0,0,0,,0,001,"NORTH WALTON AV","ALFRED WY",1.00,N,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.64388997,39.131452750000001
9191790,2020,2021-02-01,5102,2020-11-04,1225,4077,2,3,5,4,5102,0,0,0,,0,002,"W ONSTOTT FRONTAGE RD","BRIDGE ST",5.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,D,0,Y,,,,Y,,A,07,1,0,0,0,1,0,0,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.63549041748047,39.132377624511719
91328307,2020,2020-10-21,9285,2020-10-11,2155,020454,,7,2,9,5100,0,3,5,,1,007,SR-99,"PASEO AVE",50.00,S,N,A,-,N,,,99,,,,,,,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,D,A,0,,,,Y,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",39.250099182128906,-121.65232086181641,SUTTER,UNINCORPORATED,-121.65227508544922,39.250114440917969
90004899,2015,2015-10-19,9285,2015-07-09,1200,15048,,4,1,9,5100,0,2,4,,1,052,"GEORGE WASHINGTON BLVD.","REED ROAD",1056.00,S,N,B,-,N,,,,,,,,,,Y,2,0,5,2,A,-,08,22107,,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,1,4,0,0,0,0,0,0,0,"- ","- ",39.080080000000002,-121.672,SUTTER,UNINCORPORATED,-121.67203598,39.08060004
6291968,2014,2015-12-28,9285,2014-02-18,1605,16343,,2,2,9,5100,0,1,3,,1,051,"RT 99","OBANION RD",0.00,,Y,A,-,Y,SUT,3,99,-,-,22.600,I,5,S,Y,1,1,3,2,A,-,01,23152,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,Y,A,07,0,1,2,0,0,0,0,0,0,"- ","- ",39.025379999999998,-121.6348,SUTTER,UNINCORPORATED,-121.63472225,39.025381109999998
8335927,2017,2018-01-20,5102,2017-03-31,1437,4061,4,5,5,4,5102,0,0,0,,0,004,"COLUSA AV","ALMOND ST",40.00,W,N,A,G,Y,SUT,3,20,-,-,16.450,I,5,W,Y,2,0,1,2,A,-,10,21952,,N,G,B,F,A,H,-,A,D,0,Y,,,,Y,,A,07,1,0,0,0,1,0,0,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.61872765,39.140739510000003
8555374,2018,2018-02-16,5102,2018-01-17,1800,4100,1,3,5,4,5102,0,0,0,,0,001,"WALTON AV","LASSEN BL",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,4,2,A,-,09,21801,A,N,A,C,A,A,H,-,B,A,0,,,,,Y,,A,01,1,0,3,0,0,0,0,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.64391326904297,39.137969970703125
9320113,2021,2021-12-07,5102,2021-06-30,2206,4077,5,3,5,4,5102,0,0,0,,0,005,"GARDEN HWY","PERCY AV",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,1,2,A,-,11,21456,B,N,G,B,D,A,H,-,C,A,0,Y,,,,Y,,N,60,0,0,1,1,0,0,0,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.61268615722656,39.122100830078125
9395870,2021,2022-02-09,5102,2021-12-11,1950,4109,4,6,5,4,5102,0,0,0,,0,004,"GRAY AV","SPIVA AV",50.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,07,21658,A,N,F,I,A,A,H,-,C,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.63004302978516,39.135498046875
9788696,2025,2025-05-12,5102,2025-03-26,1345,4129,4,3,5,4,5102,0,0,0,,0,004,"BRIDGE ST","REEVES AV",60.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.6162109375,39.135063171386719
9149400,2020,2020-10-20,5102,2020-08-07,1814,4104,5,5,5,4,5102,0,0,0,,0,005,"PHILLIPS RD","COTTON ROSSER WY",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.63214111328125,39.11090087890625
90751612,2018,2018-06-20,9285,2018-06-10,0120,018561,,7,3,9,5100,0,3,5,,1,005,"S. PALORA AVE","MARCIA AVE",315.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,4,A,-,01,23152,A,N,E,I,A,A,H,-,C,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",39.125911712646484,-121.63395690917969,SUTTER,UNINCORPORATED,-121.63381195068359,39.125766754150391
90979042,2019,2019-04-30,9285,2019-04-19,1250,014878,,5,1,9,5100,0,3,5,,1,007,"HUMPHREY RD","S. BUTTE RD.",370.00,N,N,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,05,21460,A,N,A,C,A,A,G,-,A,D,0,,,,Y,Y,,M,46,1,1,0,0,0,0,0,0,0,"- ","- ",39.153789520263672,-121.72602081298828,SUTTER,UNINCORPORATED,-121.72598266601562,39.153915405273438
91106814,2019,2019-10-25,9285,2019-10-10,1422,017118,,4,2,9,5100,0,1,3,,1,072,"SR-20 W/B","N TOWNSHIP ROAD",1290.00,W,N,A,-,Y,,,,,,,,,,Y,2,0,3,3,A,-,09,21801,A,N,D,C,A,A,H,-,A,A,0,,,,Y,Y,,A,01,1,2,0,0,0,0,0,0,0,"- ","- ",39.082969665527344,-121.4136962890625,SUTTER,UNINCORPORATED,-121.69342041015625,39.141544342041016
92237758,2023,2023-11-16,9285,2023-10-03,1855,020070,,2,2,9,5100,0,3,5,,1,001,"WEST RIEGO ROAD","PACIFIC AVENUE",1409.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,08,22107,,N,A,C,A,A,H,-,B,D,0,,,,Y,Y,,G,25,0,0,0,0,0,0,0,0,0,"- ","- ",38.750560760498047,-121.53031158447266,SUTTER,UNINCORPORATED,-121.53012847900391,38.750556945800781
9208150,2020,2021-01-28,5102,2020-09-28,1924,4077,4,1,5,4,5102,0,0,0,,0,004,"GRAY AV","KIMBALL AV",5.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,Y,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.62999725341797,39.134357452392578
9236336,2021,2021-03-27,5102,2021-02-04,1423,4073,3,4,5,4,5102,0,0,0,,0,003,"LIVE OAK BL","NORTHGATE DR",480.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.62281799316406,39.160617828369141
