CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
91069560,1,1,Y,M,70,C,-,E,L,G,N,-,3,-,,25,22350,,A,N,0,2,B,2001,TOYT,A,01,,H,,-,-,2019
91964286,1,1,Y,M,62,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,E,2006,TOYT,A,07,,A,,-,-,2022
91964286,2,1,N,M,56,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2017,NISS,D,22,,H,,-,-,2022
91964286,3,1,N,M,59,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2015,NISS,D,22,,W,,-,-,2022
9191790,1,1,Y,F,55,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2006,-,A,07,,H,,-,-,2020
9191790,2,2,N,F,58,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,H,,-,-,2020
91328307,1,1,N,M,34,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2021,PTRB,G,25,31,O,,-,-,2020
91328307,2,1,Y,F,61,A,-,S,L,G,N,-,3,-,-,"- ",,,N,-,0,1,B,2018,CADI,A,01,,W,,-,-,2020
90004899,1,1,Y,F,52,A,-,S,M,B,Y,-,3,-,-,"- ",,,N,-,0,1,F,2004,TOYOTA,A,01,,W,,-,-,2015
90004899,2,1,N,F,33,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,4,B,2010,CHEVY,A,07,,W,,-,-,2015
6291968,1,1,Y,M,19,B,E,E,M,H,Y,-,3,-,,33,21802,A,A,-,0,1,B,2002,FORD,A,07,,A,,-,-,2014
6291968,2,1,N,M,60,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,1,2,B,2004,CHEVROLET,A,01,,H,,-,-,2014
8335927,1,1,Y,M,59,A,-,E,M,G,,-,3,-,-,"- ",,,F,-,0,0,L,1998,FORD,A,07,,W,-,-,-,2017
8335927,2,2,N,F,62,A,-,-,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,N,60,,H,,-,-,2017
8555374,1,1,Y,M,50,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,E,2012,FORD,A,01,,W,,-,-,2018
8555374,2,1,N,M,46,A,-,S,L,G,Y,-,3,-,,39,24400,B,A,-,0,3,B,2006,TOYOTA,A,01,,,,-,-,2018
9320113,1,2,Y,M,65,A,-,E,-,-,O,-,3,-,,35,21950,B,A,-,1,0,B,,-,N,60,,W,,-,-,2021
9320113,2,1,N,M,71,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2005,-,A,01,,H,,-,-,2021
9395870,1,1,Y,F,20,G,G,S,L,G,N,-,3,-,-,"- ",,,N,-,0,1,J,2008,-,A,01,,H,,-,-,2021
9788696,1,2,Y,F,8,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,H,,-,-,2025
9788696,2,1,N,F,36,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2005,-,A,07,,H,,-,-,2025
9149400,1,1,Y,F,23,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2011,-,A,01,,H,,-,-,2020
9149400,2,1,N,F,20,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2017,FORD,A,01,,H,,-,-,2020
90751612,1,1,Y,F,23,B,-,N,L,G,N,-,3,-,,31,22107,,A,-,0,1,C,2003,HOND,A,01,,H,,-,-,2018
90751612,2,3,N,-,998,H,H,W,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,2008,NISS,A,01,,,,-,-,2018
90751612,3,3,N,-,998,H,H,E,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,2003,NASU,-,36,,,,-,-,2018
90751612,4,3,N,-,998,H,H,S,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,2013,GMC,D,22,,,,-,-,2018
91106814,1,1,Y,F,19,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,E,2014,KIA,A,01,,W,,-,-,2019
91106814,2,1,N,M,79,A,-,W,P,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,1990,PETE,G,25,32,W,,-,-,2019
91106814,3,1,N,F,25,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2005,DODGE,A,01,,W,,-,-,2019
92237758,1,1,Y,M,31,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,M,2020,PTRB,G,25,31,W,,-,-,2023
92237758,2,1,N,M,72,A,-,W,L,G,Y,-,4,-,-,"- ",,,N,-,1,0,B,2015,NISS,A,07,,O,,-,-,2023
9208150,1,2,Y,M,60,B,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,N,60,,H,,-,-,2020
9208150,2,1,N,F,51,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2000,-,A,07,,H,,-,-,2020
9236336,1,1,Y,F,69,A,-,S,L,G,,-,3,-,-,"- ",,,N,-,0,1,M,2016,JEEP,A,07,,W,,-,-,2021
91344440,1,1,Y,M,53,B,-,S,L,H,Y,-,3,-,,31,22107,,A,-,0,1,M,2006,FORD,D,22,,W,,-,-,2020
91612002,1,1,Y,F,28,G,G,S,M,G,N,-,3,-,-,"- ",,,N,-,0,1,R,2008,NISS,D,22,,H,,-,-,2021
9037222,1,1,Y,M,46,A,-,E,M,G,N,-,3,-,-,"- ",,,N,-,0,1,B,1997,CHEVROLET,D,22,,W,,-,-,2020
9037222,2,1,N,F,20,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,3,B,2019,NISSAN,A,01,,H,,-,-,2020
90381187,1,1,Y,M,20,A,-,E,L,G,N,-,3,-,-,"- ",,,N,-,0,1,B,2002,NISS,A,01,,W,,-,-,2017
90381187,2,1,N,F,41,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,2,A,2011,CHEV,A,07,,W,,-,-,2017
92059972,1,1,Y,M,35,G,G,E,M,G,N,-,1,-,-,"- ",,,F,-,0,0,B,2007,GMC,A,07,,O,A,-,-,2023
92059972,2,4,N,M,62,G,G,E,-,P,O,-,4,-,-,"- ",,,N,-,1,0,B,,SPECIALIZED,L,04,,W,,-,-,2023
90177767,1,1,Y,F,30,B,E,N,M,G,N,-,3,-,,31,22107,,A,-,0,3,C,2002,HYUND,A,01,,W,,-,-,2016
90372584,1,1,Y,M,59,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,I,2014,CHEV,D,22,,O,,-,-,2016
90372584,2,1,N,M,57,A,-,E,B,B,Y,-,3,-,-,"- ",,,N,-,1,0,B,1994,JEEP,A,07,,W,,-,-,2016
91207244,1,1,Y,F,21,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,4,M,2003,FORD,A,01,,W,,-,-,2020
92234423,1,1,Y,M,27,B,-,S,L,G,Y,-,4,-,,27,21651,A,A,-,0,2,Q,2008,HOND,A,01,,H,,-,-,2023
