CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
90075994,1,1,Y,M,35,G,G,S,L,H,Y,-,3,-,-,"- ",,,N,-,1,1,C,1997,CHEV,A,07,,W,,-,-,2015
90075994,2,1,N,F,18,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,C,2000,NISS,A,01,,H,,-,-,2015
91274638,1,1,Y,M,24,B,-,W,M,H,N,-,3,-,,31,22107,,A,-,1,1,M,1989,TOYOTA,D,22,,W,,-,-,2020
8939055,1,1,Y,M,59,B,-,N,L,B,Y,-,3,-,-,"- ",,,N,-,1,0,B,2010,NISSAN,A,01,,W,,-,-,2019
90233393,1,1,Y,F,57,A,-,S,M,G,Y,-,3,-,-,"- ",,,K,-,0,1,C,1998,TOYT,D,22,,W,,-,-,2016
92206050,1,1,N,F,23,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2015,JEEP,A,07,,W,,-,-,2023
92206050,2,1,Y,M,30,A,-,N,L,G,N,-,4,-,-,"- ",,,N,-,0,2,B,2023,KIA,A,01,,W,,-,-,2023
90530151,1,1,Y,M,55,A,-,W,-,W,Y,-,3,-,-,"- ",,,N,-,1,1,B,2016,HARLEY-D,C,02,,W,,-,-,2017
91680611,1,1,Y,M,43,A,-,W,L,H,N,-,3,-,-,"- ",,,N,-,0,1,C,1999,CHEV,D,22,,W,,-,-,2022
94564824,1,1,Y,F,49,B,-,S,M,G,Y,-,2,-,,31,22107,,A,H,0,1,C,2016,GMC,A,07,,W,,-,-,2025
6696941,1,1,Y,M,27,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,4,B,1999,TOYOTA,D,22,,W,,-,-,2014
91251454,1,1,Y,M,30,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2004,GMC,D,22,,H,,-,-,2020
91869871,1,1,Y,M,60,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,1,1,M,2011,LINC,A,07,,W,,-,-,2022
6942862,1,1,Y,M,21,B,-,S,L,G,Y,-,3,-,,25,22350,,A,-,0,2,C,2014,DODGE,A,01,,W,,-,-,2015
90141969,1,1,Y,F,33,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,N,1998,HONDA,A,07,,W,,-,-,2016
90141969,2,1,N,F,54,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2008,PONTIAC,A,08,,W,,-,-,2016
91367788,1,1,Y,M,33,B,-,N,M,H,N,-,3,-,,31,22107,,A,-,0,1,R,2005,FORD,A,07,,W,,-,-,2020
92003755,1,1,Y,M,18,B,-,W,L,G,Y,-,4,-,,31,22107,,A,-,0,1,C,2000,BMW,A,01,,W,,-,-,2023
90545057,1,1,Y,M,52,-,E,E,L,H,N,-,3,-,,31,22107,,A,-,0,1,C,2007,FORD,D,22,,W,,-,-,2017
90157657,1,1,Y,F,30,A,-,S,M,G,N,-,3,-,-,"- ",,,N,-,0,4,R,1995,GMC,A,07,,W,,-,-,2016
91418198,1,1,Y,F,33,-,E,W,L,G,Y,-,3,-,,27,21650,,A,N,0,1,N,2001,CHEV,D,22,,O,,-,-,2021
91418198,2,1,N,M,60,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2002,FORD,D,22,,H,,-,-,2021
91779525,1,1,Y,M,16,G,G,S,L,G,Y,-,4,-,-,"- ",,,N,-,3,1,R,2018,KIA,A,01,,W,,-,-,2022
91779525,2,3,N,-,998,A,-,S,-,-,O,-,1,-,-,"- ",,,N,-,0,0,O,2022,KW,G,25,33,,,-,-,2022
90121340,1,1,Y,M,35,A,-,S,L,G,Y,-,3,-,-,"- ",,,F,-,0,0,B,2014,CHEV,D,22,,W,K,-,-,2016
90121340,2,1,N,F,81,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,1,0,A,2010,"FORD ",A,01,,H,,-,-,2016
90121340,3,1,N,F,42,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,A,2002,FORD,A,01,,W,,-,-,2016
90121340,4,1,N,M,31,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,3,A,2010,TOYO,A,01,,W,,-,-,2016
90524853,1,1,Y,M,22,B,-,S,P,H,Y,-,3,-,,31,22107,,A,-,1,0,C,1993,CHEVY,D,22,,W,,-,-,2017
90912887,1,1,Y,F,56,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2007,TOYOTA,A,01,,W,,-,-,2019
91591761,1,1,N,M,62,A,-,W,-,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2008,HD,C,02,,W,,-,-,2021
92395270,1,1,Y,M,72,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,E,1999,"FORD ",A,01,,W,,-,-,2024
92395270,2,1,N,F,20,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2013,TOYT,A,01,,H,,-,-,2024
94448276,1,2,Y,M,39,G,G,E,-,-,O,-,3,-,-,"- ",,,N,-,1,0,-,,-,N,60,,H,,-,-,2024
94448276,2,1,N,F,52,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,4,B,2013,FORD,A,07,,H,,-,-,2024
