CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
90803329,2018,2018-09-04,9175,2018-08-29,1805,016084,,3,2,9,5300,0,3,5,,2,001,"RED HILL ROAD","SENGER ROAD",18.00,W,N,A,-,N,,,,,,,,,,Y,2,0,5,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,01,1,4,0,0,0,0,0,0,0,"- ","- ",40.445499420166016,-123.04429626464844,TRINITY,UNINCORPORATED,-123.07844543457031,40.748584747314453
90973624,2019,2019-05-01,9175,2019-02-07,1635,020804,,4,2,9,5300,0,3,5,,2,002,SR-3,"JORDAN RD",2000.00,S,N,B,-,Y,,,3,,,,,,,N,1,1,1,1,A,-,08,22107,,N,E,I,A,B,H,-,B,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",40.618431091308594,-122.97799682617188,TRINITY,UNINCORPORATED,-122.97801208496094,40.618476867675781
90768104,2018,2018-07-12,9175,2018-07-07,2130,021253,,6,2,9,5300,0,1,3,,1,021,SR3,"RT 36",21120.00,S,N,A,-,Y,,,3,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",40.521251678466797,-123.18045043945312,TRINITY,UNINCORPORATED,-123.18041229248047,40.521251678466797
6611198,2014,2014-09-18,9175,2014-08-22,1830,018552,,5,2,9,5300,0,3,5,,2,002,"CHROME MINE RD","TRINITY PINES RD",335.00,N,N,A,-,N,,,,,,,,,,Y,2,0,3,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,1,1,1,0,0,0,0,0,0,"- ","- ",,,TRINITY,UNINCORPORATED,-123.20984,40.417279999999998
90497980,2017,2017-07-11,9175,2017-07-01,1645,018507,,6,2,9,5300,0,1,3,,1,012,"SR-299 W/B","ROSE ROAD",2112.00,W,N,A,-,Y,,,,,,,,,,Y,2,0,2,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,07,1,1,0,0,0,0,0,0,0,"- ","- ",,,TRINITY,UNINCORPORATED,-123.21637343,40.741414390000003
90897674,2018,2019-01-04,9175,2018-12-29,0950,019479,,6,1,9,5300,0,1,3,,1,012,SR-299,"CORRAL BOTTOM RD",528.00,E,N,A,-,Y,,,299,,,,,,,Y,2,0,2,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,1,1,0,0,0,0,0,0,0,"- ","- ",40.739200592041016,-123.24910736083984,TRINITY,UNINCORPORATED,-123.24910736083984,40.739261627197266
91318573,2020,2020-10-06,9175,2020-09-20,2500,019811,,7,4,9,5300,0,1,3,,2,014,SR-299,"BURNT RANCH DUMP RD",749.00,E,N,A,-,Y,,,299,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,B,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",40.793048858642578,-123.45635223388672,TRINITY,UNINCORPORATED,-123.45633697509766,40.793060302734375
6989709,2015,2015-07-21,9175,2015-07-02,1552,018433,,4,2,9,5300,0,3,5,,2,001,"BRANNAN ST","HALLS ALLEY",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,09,21804,A,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,TRINITY,UNINCORPORATED,-122.93706994999999,40.729569949999998
90086527,2015,2016-11-16,9175,2015-11-28,2500,014636,,6,4,9,5300,0,1,3,,2,013,SR-299,"USFS ROAD 4",21120.00,W,N,A,-,Y,,,299,,,,,,,Y,1,2,0,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",40.78877,-123.41696,TRINITY,UNINCORPORATED,-123.41690801999999,40.788727940000001
90825730,2018,2018-10-01,9175,2018-09-22,1230,020464,,6,1,9,5300,0,1,3,,1,022,SR-36,"SOUTH FORK MOUNTAIN RD",6864.00,E,N,A,-,Y,,,36,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",40.393329620361328,-123.41335296630859,TRINITY,UNINCORPORATED,-123.41338348388672,40.393260955810547
