CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
90803329,1,1,Y,M,37,B,-,W,L,G,Y,-,3,-,,31,22107,,A,-,0,5,C,2014,TOYO,A,01,,W,,-,-,2018
90973624,1,1,Y,M,66,-,F,S,L,G,N,-,3,-,-,"- ",,,N,-,1,1,M,2017,SUBARU,A,01,,W,,-,-,2019
90768104,1,1,Y,M,35,B,-,S,L,H,N,-,3,-,,31,22107,,A,-,0,1,M,2006,FORD,D,22,,W,,-,-,2018
6611198,1,1,Y,M,46,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,3,B,2002,TOYOTA,D,22,,A,,-,-,2014
90497980,1,1,Y,F,29,A,-,W,M,G,Y,-,3,-,,31,22107,,A,-,0,2,C,2004,TOYO,A,07,,A,,-,-,2017
90897674,1,1,Y,M,60,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,M,2014,RAM,D,22,,W,,-,-,2018
91318573,1,1,Y,F,45,G,G,E,L,G,Y,-,3,-,-,"- ",,,N,-,1,0,C,2007,MAZDA,A,01,,W,,-,-,2020
6989709,1,4,Y,M,34,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,L,,-,L,04,,W,,-,-,2015
6989709,2,1,N,F,58,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2015,SUBARU,A,01,,W,,-,-,2015
90086527,1,1,Y,-,998,G,G,W,L,H,N,-,3,-,-,"- ",,,N,-,2,0,C,2009,FORD,D,22,,,,-,-,2015
90825730,1,1,Y,M,63,A,-,W,P,W,Y,-,3,-,-,"- ",,,N,-,1,0,M,2003,BMW,C,02,,W,,-,-,2018
90009027,1,1,Y,M,62,A,-,E,-,W,Y,-,3,-,-,"- ",,,N,-,0,2,I,2007,HARL,C,02,,W,,-,-,2015
90009027,2,1,N,M,18,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2005,TOYOT,A,01,,W,,-,-,2015
91092996,1,1,Y,M,70,A,-,E,-,W,N,-,3,-,-,"- ",,,N,-,0,1,M,2012,YAMA,C,02,,W,,-,-,2019
6611170,1,1,Y,M,38,B,-,W,M,H,N,-,3,-,-,"- ",,,M,-,0,2,C,2005,CHEVROLET,D,22,,W,,-,-,2014
