CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6292423,2015,2015-07-30,9480,2015-05-15,0821,16233,,5,1,9,5400,0,3,5,,2,005,"ROAD 128","AVENUE 84",568.00,S,N,B,-,N,,,,,,,,,,N,1,1,0,2,A,-,05,21202,A,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,0,0,0,0,1,0,0,0,"- ","- ",35.941879999999998,-119.28501,TULARE,UNINCORPORATED,-119.28592801000001,35.940950409999999
7136447,2015,2015-12-15,5407,2015-11-20,1450,M222,480,5,5,5,5407,0,0,0,,0,034,ASHLAND,GIDDINGS,340.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,17,21712,A,N,-,A,A,A,-,-,A,A,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",,,TULARE,VISALIA,-119.30411725,36.308123770000002
9236533,2020,2021-03-12,5407,2020-11-01,1713,A311,480,7,5,5,5407,0,0,0,,0,034,"W KIMBALL AV","S WATSON ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,2,1,D,-,00,,,N,F,A,A,A,H,-,C,D,0,,,Y,,Y,,-,"- ",1,1,0,0,0,0,0,0,2,"- ","- ",36.296661376953125,-119.29605865478516,TULARE,VISALIA,-119.29508209228516,36.296619415283203
9378016,2021,2022-01-12,5407,2021-11-17,1706,C51,480,3,5,5,5407,0,0,0,,0,R12,"S MOONEY BL","AV 268",340.00,N,N,A,-,Y,TUL,6,63,-,-,4.570,H,-,S,Y,2,0,1,5,A,-,03,22350,,N,C,C,A,A,H,-,D,A,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",36.276760101318359,-119.31336212158203,TULARE,VISALIA,-119.31346893310547,36.277614593505859
90530536,2017,2017-08-24,9480,2017-08-06,0425,019349,,7,3,9,5400,0,1,3,,1,064,"STATE ROUTE 198","FARMERSVILLE BLVD",2972.00,E,N,A,-,Y,,,198,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,C,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",36.326689999999999,-119.19835999999999,TULARE,UNINCORPORATED,-119.19835979,36.326758419999997
90666537,2018,2018-02-22,9480,2018-02-14,1740,017778,,3,2,9,5400,0,3,5,,2,003,"SR-99 S/B FROM DRIVE 92B","DRIVE 92B",0.00,,Y,A,-,Y,,,99,,,,R,,S,Y,2,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,B,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",36.266010284423828,-119.36403656005859,TULARE,UNINCORPORATED,-119.36403656005859,36.266010284423828
92112169,2023,2023-07-07,9480,2023-06-25,"222 ",020926,,7,3,9,5400,0,1,3,,1,034,"SR-198 W/B","SR-99 N/B",1584.00,E,N,A,-,Y,TUL,,198," ",R,4.022,H,,L,Y,2,0,4,1,A,-,01,23152,A,N,F,A,A,A,H,-,D,D,0,,,,,Y,,A,07,1,2,1,0,0,0,0,0,0,"- ","- ",36.3277587890625,-119.40386962890625,TULARE,UNINCORPORATED,-119.40383148193359,36.327835083007812
92146473,2023,2023-08-17,9480,2023-08-05,2325,021044,,6,3,9,5400,0,1,3,,1,021,"STATE ROUTE 63 (ROAD 124)","AVE. 392",1531.00,S,N,A,-,Y,TUL,,63," "," ",20.265,H,,R,Y,2,0,3,3,A,-,01,23153,A,N,B,C,A,A,H,-,D,D,0,,,,,Y,Y,A,01,2,1,0,0,0,0,0,0,0,"- ","- ",36.496829986572266,-119.28659820556641,TULARE,UNINCORPORATED,-119.28662872314453,36.496829986572266
91090137,2019,2019-12-27,9480,2019-08-10,2354,020612,,6,3,9,5400,0,3,5,,2,006,"AVENUE 264","ROAD 164",775.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",36.268741607666016,-119.20445251464844,TULARE,UNINCORPORATED,-119.20445251464844,36.268741607666016
91183853,2020,2020-02-10,9481,2020-02-05,1935,015290,,3,2,9,5400,0,1,3,,1,032,"STATE ROUTE 190 (AVENUE 144)","ROAD 168",839.00,W,N,A,-,Y,,,190,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",36.05126953125,-119.19963073730469,TULARE,UNINCORPORATED,-119.19963073730469,36.051216125488281
