CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6292423,1,4,Y,M,67,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,1,0,B,,-,L,04,,H,,-,-,2015
6292423,2,1,N,F,40,A,-,N,M,G,N,-,3,-,-,"- ",,,N,-,0,0,I,2008,INFINITI,A,01,,H,,-,-,2015
9236533,1,1,N,M,40,G,G,W,P,G,,-,3,-,-,"- ",,,N,-,0,2,M,,-,C,06,,,,-,-,2020
9378016,1,1,Y,M,51,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2016,-,D,22,,,,-,-,2021
9378016,2,1,N,F,19,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,A,2015,-,A,01,,,,-,-,2021
9378016,3,1,N,M,26,A,-,S,-,G,N,-,3,-,-,"- ",,,N,-,0,0,A,2008,-,A,01,,H,,-,-,2021
9378016,4,1,N,F,68,A,-,S,M,G,N,-,3,-,-,"- ",,,N,-,0,0,A,1995,-,A,01,,,,-,-,2021
9378016,5,1,N,M,33,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2022,-,A,07,,,,-,-,2021
90530536,1,1,Y,F,46,-,F,E,L,G,Y,-,2,-,-,"- ",,,M,-,0,1,R,2012,HONDA,A,01,,W,,-,-,2017
90666537,1,1,Y,F,20,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,E,2000,HOND,A,01,,H,,-,-,2018
90666537,2,1,N,M,18,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2015,CHRY,A,01,,H,,-,-,2018
92112169,1,1,Y,F,25,A,-,W,B,G,N,-,3,-,,31,22107,,A,-,0,4,R,2012,AUDI,A,07,,B,,-,-,2023
92146473,1,1,Y,M,37,B,-,N,L,H,N,-,3,-,,31,22107,,A,M,0,1,M,2005,NISS,A,01,,H,,-,-,2023
92146473,2,1,N,F,26,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2010,HOND,A,01,,H,,-,-,2023
92146473,3,1,N,F,20,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2004,GMC,D,22,,H,,-,-,2023
91090137,1,1,Y,M,21,G,G,E,L,G,Y,-,3,-,,25,22350,,A,-,1,0,C,2005,HOND,A,01,,H,,-,-,2019
