CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
93395132,2024,2024-08-02,9425,2024-05-31,1709,016886,,5,2,9,5500,0,3,5,,1,004,"BONDS FLAT ROAD","LA GRANGE ROAD",838.00,S,N,A,-,N,,,,,,,,,,Y,1,4,0,2,A,-,05,21460,A,N,A,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",37.714859008789062,-120.4427490234375,TUOLUMNE,UNINCORPORATED,-120.44273376464844,37.714893341064453
90583521,2017,2017-10-31,9425,2017-10-29,2325,016812,,7,3,9,5500,0,1,3,,2,013,SR-49,"MAIN ST",28.00,S,N,A,-,Y,,,49,,,,,,,Y,2,0,3,2,A,-,01,23152,A,N,C,C,A,A,D,-,C,D,0,,,,,Y,Y,A,01,1,2,0,0,0,0,0,0,0,"- ","- ",37.951030000000003,-120.42468,TUOLUMNE,UNINCORPORATED,-120.42466829999999,37.95102893
90589479,2017,2017-11-07,9425,2017-10-16,1545,019785,,1,2,9,5500,0,1,3,,2,031,"STATE ROUTE 108","ARGYLE RD",245.00,E,N,A,-,Y,,,108,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,B,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",37.981900000000003,-120.2946,TUOLUMNE,UNINCORPORATED,-120.29464096,37.98202002
90861106,2018,2018-11-15,9425,2018-11-10,2215,016812,,6,3,9,5500,0,3,5,,2,003,"JOAQUIN GULLY RD","MOUNTAIN DR",375.00,N,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,D,22,1,1,0,0,0,0,0,0,0,"- ","- ",38.046440124511719,-120.23336791992188,TUOLUMNE,UNINCORPORATED,-120.23357391357422,38.046566009521484
91296088,2020,2020-08-31,9425,2020-08-22,2330,018251,,6,3,9,5500,0,3,5,,2,001,"SHELL RD","OLD MELONES RD",528.00,S,N,F,-,N,,,,,,,,,,N,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,0,,,Y,,Y,,C,06,1,0,0,0,0,0,0,0,1,"- ","- ",37.948200225830078,-120.46160125732422,TUOLUMNE,UNINCORPORATED,-120.46123504638672,37.949520111083984
90557496,2017,2017-09-27,9425,2017-08-02,0050,018251,,3,3,9,5500,0,1,3,,2,031,"STATE ROUTE 108 W/B","BALD MTN HELIPORT RD",6336.00,W,N,A,-,Y,,,108,,,,,,W,Y,1,1,1,1,A,-,01,23152,A,N,F,A,A,A,H,-,D,D,0,,,,,Y,Y,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",38.122920000000001,-120.11245,TUOLUMNE,UNINCORPORATED,-120.11247145,38.12294473
90018401,2015,2015-10-19,9425,2015-09-05,2110,018965,,6,2,9,5500,0,1,3,,2,041,SR-120,"MERRELL RD",299.00,E,N,A,-,Y,,,120,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",37.836329999999997,-120.23820000000001,TUOLUMNE,UNINCORPORATED,-120.23815558,37.836247999999998
90403949,2017,2017-03-01,9425,2017-02-28,1500,018544,,2,2,9,5500,0,3,5,,2,002,"WARDS FERRY RD","POWELL RANCH RD",7920.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,09,21661,,N,H,G,A,A,E,-,A,D,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",37.876309999999997,-120.29935,TUOLUMNE,UNINCORPORATED,-120.30143215,37.875092819999999
6740065,2015,2015-05-26,9425,2015-03-13,1625,018544,,5,2,9,5500,0,1,3,,2,031,"RT 108","TWAIN HARTE DR EAST",0.00,,Y,A,-,Y,TUO,10,108,-,R,9.583,I,5,W,Y,1,1,2,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",38.039029999999997,-120.21854,TUOLUMNE,UNINCORPORATED,-120.24677603000001,38.019840350000003
90191657,2016,2016-06-02,9425,2016-05-28,1415,019297,,6,2,9,5500,0,1,3,,2,031,"RT 108","COFFILL RD",194.00,E,N,A,-,Y,,,108,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",38.046610000000001,-120.20447,TUOLUMNE,UNINCORPORATED,-120.20450231,38.046648509999997
