CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
93395132,1,1,Y,M,56,A,-,N,L,G,Y,-,4,-,,25,22350,,A,-,3,0,N,2020,CHEV,D,22,,W,,-,-,2024
93395132,2,1,N,F,33,A,-,S,L,G,Y,-,4,-,-,"- ",,,N,-,1,0,B,2005,TOYT,A,07,,W,,-,-,2024
90583521,1,1,Y,M,33,B,-,S,L,G,Y,-,3,-,,25,22350,,A,-,0,3,B,2017,CHEV,A,01,,B,,-,-,2017
90583521,2,1,N,M,44,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2006,FORD,D,22,,W,,-,-,2017
90589479,1,1,Y,M,57,A,I,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2013,"FORD ",D,22,,W,,-,-,2017
90861106,1,1,Y,M,16,B,-,S,L,G,Y,-,3,-,,31,22107,,A,-,0,2,C,1999,FORD,D,22,,W,,-,-,2018
91296088,1,1,Y,M,39,A,-,N,P,V,N,-,3,-,-,"- ",,,N,-,0,1,M,,APOLLO,C,06,,W,,-,-,2020
90557496,1,1,Y,F,23,B,-,W,L,G,Y,-,3,-,,31,22107,,A,-,1,1,M,2004,CHEVROLE,D,22,,H,,-,-,2017
90018401,1,1,Y,M,23,B,-,W,P,D,N,-,3,-,,31,22107,,A,-,0,1,E,1972,CHEV,D,22,,W,,-,-,2015
90403949,1,1,N,M,63,A,-,N,P,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,1984,TOYO,A,07,,W,,-,-,2017
90403949,2,4,Y,M,74,A,-,S,-,W,O,-,3,-,-,"- ",,,N,-,0,1,B,,SPCN,L,04,,W,,-,-,2017
6740065,1,1,Y,M,90,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,1,1,E,2004,AUDI,A,01,,W,,-,-,2015
6740065,2,1,N,F,44,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2004,CHEVROLET,A,07,,W,,-,-,2015
90191657,1,1,Y,F,54,A,-,E,L,H,Y,-,3,-,-,"- ",,,N,-,0,1,C,1999,JEEP,A,07,,W,,-,-,2016
90762366,1,1,Y,F,63,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2001,MERB,A,01,,W,,-,-,2018
6723921,1,2,Y,M,44,A,-,S,P,-,O,-,3,-,-,"- ",,,N,-,0,1,L,,-,N,60,,W,,-,-,2014
6723921,2,1,N,F,66,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2007,DODGE,A,08,,H,,-,-,2014
90762045,1,1,Y,M,14,A,-,S,-,V,N,-,3,-,-,"- ",,,N,-,0,2,B,,BAJA,C,03,,W,,-,-,2018
90762045,2,1,N,M,77,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,I,2016,BUIC,A,01,,W,,-,-,2018
91150623,1,1,Y,M,41,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,M,2001,MERB,A,01,,W,,-,-,2019
92361079,1,1,Y,M,59,A,-,N,L,H,N,-,3,-,-,"- ",,,N,-,0,1,M,2013,TOYT,D,22,,W,,-,-,2024
94396781,1,1,N,M,69,A,-,W,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,C,2024,HD,C,02,,W,,-,-,2024
92045308,1,1,Y,F,79,A,-,W,L,G,N,-,3,-,-,"- ",,,N,-,1,1,M,1997,LINC,A,01,,W,,-,-,2023
91562259,1,1,Y,F,24,A,-,E,M,G,N,-,3,-,-,"- ",,,N,-,0,1,C,2004,KIA,A,07,,W,,-,-,2021
91748848,1,1,Y,F,65,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2005,DODG,A,07,,W,,-,-,2022
91776147,1,1,Y,M,76,A,I,W,L,G,N,-,3,-,-,"- ",,,N,-,0,1,C,2008,SCIO,A,01,,W,,-,-,2022
90844036,1,1,Y,M,37,B,-,S,L,G,Y,-,3,-,,31,22107,,A,-,0,1,C,2004,TOYT,A,07,,W,,-,-,2018
92397391,1,1,Y,M,38,B,-,N,L,G,Y,-,3,-,,31,22107,,A,-,0,1,M,2004,SUBA,A,01,,W,,-,-,2024
91657928,1,1,Y,M,30,B,-,N,M,G,N,-,4,-,,31,22107,,A,-,0,1,C,2003,FORD,D,22,,B,,-,-,2021
91665840,1,1,Y,M,23,B,-,W,L,G,N,-,3,-,,31,22107,,A,-,0,2,M,2009,MAZD,A,01,,H,,-,-,2021
91665840,2,3,N,-,998,H,H,S,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,1999,TOYT,A,07,,,,-,-,2021
91665840,3,3,N,-,998,H,H,S,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,2012,LINC,A,01,,,,-,-,2021
6666122,1,1,Y,M,31,A,-,S,P,W,N,-,3,-,-,"- ",,,N,-,0,1,E,2006,HONDA,C,02,,W,,-,-,2014
6801628,1,1,Y,M,35,G,G,S,M,H,N,-,3,-,-,"- ",,,N,-,0,1,C,1998,TOYOTA,D,22,,W,,-,-,2015
90407382,1,1,Y,M,17,A,-,E,L,H,Y,-,3,-,-,"- ",,,L,-,0,1,B,2008,FORD,D,22,,W,,-,-,2017
91735960,1,1,Y,M,45,-,E,N,L,H,N,-,4,-,,31,22107,,A,-,1,1,M,2001,FORD,A,01,,W,,-,-,2021
91589742,1,2,Y,F,40,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2021
91589742,2,1,N,M,85,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2015,CADI,A,07,,W,,-,-,2021
92422022,1,1,Y,M,48,D,-,W,P,W,Y,-,3,-,-,"- ",,,N,-,2,0,B,2002,HD,C,02,,W,,-,-,2023
92422022,2,1,N,F,45,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2023,SUBA,A,01,,W,,-,-,2023
92422022,3,1,N,F,38,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2012,TOYT,A,01,,W,,-,-,2023
8043758,1,1,N,M,78,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2010,BUICK,A,01,,W,,-,-,2016
8043758,2,2,Y,M,40,B,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2016
90608144,1,1,Y,M,50,A,-,N,-,W,Y,-,3,-,-,"- ",,,N,-,0,1,E,2012,KTMX,C,02,,W,,-,-,2017
90471614,1,1,Y,M,46,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,4,E,2011,HYUN,A,07,,H,,-,-,2017
90471614,2,1,N,M,76,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,7,B,2008,BUICK,A,01,,W,,-,-,2017
91541571,1,1,Y,M,66,A,-,S,-,W,N,-,3,-,-,"- ",,,N,-,0,1,B,2003,HOND,C,02,,W,,-,-,2021
91855554,1,1,Y,M,41,C,-,S,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,C,1994,HD,C,02,,W,,-,-,2022
6878137,1,1,Y,M,48,B,-,W,P,V,N,-,3,-,,27,21460,A,A,-,0,1,I,1994,HONDA,C,02,,W,,-,-,2015
6878137,2,1,N,M,80,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2008,DODGE,D,22,,W,,-,-,2015
90621214,1,1,Y,M,61,A,-,N,-,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2004,TRIU,C,02,,W,,-,-,2017
91217813,1,1,Y,M,25,B,-,S,L,G,N,-,3,-,,31,22107,,A,-,0,2,C,2007,JEEP,A,07,,W,,-,-,2019
91546238,1,1,Y,M,23,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2017,JEEP,A,07,,H,,-,-,2021
91546238,2,1,N,F,55,A,-,N,-,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2004,HD,C,02,,W,,-,-,2021
91954111,1,1,Y,M,35,D,-,S,M,G,Y,-,4,-,-,"- ",,,N,-,1,0,C,2003,FORD,D,22,,H,,-,-,2022
91024314,1,1,Y,M,29,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,F,2004,FORD,J,48,98,W,,-,-,2019
91024314,2,1,N,M,26,B,-,W,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2009,HONDA,C,02,,H,,-,-,2019
91826025,1,1,Y,M,57,B,-,E,L,H,Y,-,4,-,,31,22107,,A,-,1,0,C,2014,BUIC,A,01,,W,,-,-,2021
92090446,1,1,Y,M,37,A,-,N,P,W,N,-,3,-,-,"- ",,,N,-,0,1,B,2015,YAMA,C,02,,O,,-,-,2023
93686545,1,2,Y,M,65,-,E,E,-,-,O,-,4,-,-,"- ",,,N,-,1,0,-,,-,N,60,,W,,-,-,2024
93686545,2,1,N,M,39,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2019,GMC,A,07,,W,,-,-,2024
8519702,1,1,Y,M,68,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,L,2005,NISSAN,A,07,,W,,-,-,2017
8519702,2,1,N,F,86,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2005,FORD,A,01,,W,,-,-,2017
90257876,1,1,N,M,56,A,-,W,P,W,Y,-,3,-,-,"- ",,,L,N,0,1,B,2009,YAMA,A,01,,W,,-,-,2016
90395534,1,1,N,M,45,A,-,S,-,W,Y,-,3,-,-,"- ",,,N,-,0,2,B,1990,HARL,C,02,,W,,-,-,2017
90395534,2,1,Y,F,74,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2005,FORD,D,22,,W,,-,-,2017
94659794,1,1,Y,M,57,B,-,E,P,W,Y,-,3,-,,25,22350,,A,-,0,1,B,2003,HD,C,02,,W,,-,-,2025
