CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
8758833,1,1,Y,F,49,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2012,FORD,A,01,,W,,-,-,2018
8758833,2,1,N,M,84,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2018,MERCEDES-BENZ,A,01,,W,,-,-,2018
9021484,1,1,Y,M,55,A,-,W,L,G,N,-,3,-,-,"- ",,,N,-,0,0,B,2007,TOYOTA,A,01,,H,,-,-,2019
9021484,2,1,N,M,81,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2016,NISSAN,A,01,,A,,-,-,2019
9378863,1,1,Y,-,998,G,G,E,-,-,,-,3,-,-,"- ",,,N,-,0,0,N,,-,-,,,,,-,-,2021
9378863,2,1,N,M,19,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2017,-,A,01,,H,,-,-,2021
9378863,3,4,N,-,998,G,G,W,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,,,-,-,2021
9751510,1,1,Y,F,46,G,G,S,M,B,,-,-,-,,31,22107,,A,-,1,0,B,2002,FORD,F,26,,H,,-,-,2023
81381876,1,1,Y,M,28,B,-,E,-,W,Y,-,3,-,-,"- ",,,A,-,1,0,B,2017,YAMAHA,C,02,,O,,-,-,2020
82442127,1,1,Y,M,54,A,-,W,L,G,N,-,3,-,-,"- ",,,M,-,0,1,M,2022,CHEVROLET,A,07,,O,,-,-,2024
94489322,1,1,Y,M,63,B,-,N,M,G,N,-,3,-,,31,22107,,A,-,0,1,M,1997,FORD,M,59,,W,,-,-,2024
94553733,1,1,Y,M,53,D,-,N,M,G,Y,-,4,-,-,"- ",,,N,-,0,1,M,2021,JEEP,D,22,,W,,-,-,2025
94739338,1,1,Y,F,16,A,-,W,L,G,N,-,3,-,-,"- ",,,N,-,0,2,M,2019,KIA,A,01,,H,,-,-,2025
90221902,1,1,Y,F,26,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,6,E,2002,DODG,A,08,,H,,-,-,2016
90221902,2,1,N,M,25,A,-,E,P,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,1987,CHEV,A,01,,H,,-,-,2016
90468819,1,1,Y,M,21,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,D,2001,FORD,D,22,,W,,-,-,2017
90468819,2,4,N,M,70,A,-,W,-,W,O,-,3,-,-,"- ",,,N,-,0,1,B,2014,WILIER,L,04,,W,,-,-,2017
