CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6748013,1,1,Y,F,56,A,-,W,L,G,N,-,3,-,-,"- ",,,G,-,0,1,B,2008,TOYOTA,A,01,,W,,-,-,2014
6748013,2,1,N,F,50,A,-,W,L,G,N,-,3,-,-,"- ",,,G,-,0,3,H,2013,FORD,A,07,,W,,-,-,2014
6748013,3,1,N,M,67,A,-,W,M,G,Y,-,3,-,-,"- ",,,G,-,0,0,H,2014,BUICK,A,01,,W,,-,-,2014
6854026,1,1,Y,M,83,A,-,N,M,E,Y,-,3,-,-,"- ",,,N,-,0,0,E,1999,FORD,-,,,H,,-,-,2014
6854026,2,1,N,M,75,G,G,S,P,W,Y,-,3,-,-,"- ",,,N,-,1,0,B,2002,HARLEY-DAVIDSON,-,,,H,,-,-,2014
91497846,1,1,Y,M,51,B,-,N,-,W,Y,-,3,-,,31,22107,,A,-,0,1,R,2005,HD,C,02,,W,,-,-,2021
91838179,1,1,Y,M,34,A,-,W,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2018,HOND,J,49,,W,,-,-,2022
9100493,1,1,Y,M,22,A,-,E,G,-,Y,-,3,-,,27,21650,,A,-,0,0,B,2014,-,A,01,,A,,-,-,2020
9100493,2,4,N,M,21,A,-,W,-,-,N,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2020
9100493,3,3,N,-,998,H,H,-,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2015,JEEP,A,01,,,,-,-,2020
