crash_id,veh_num,make,model,body_type
201901010164,1,2012 VOLK,JET,Passenger
201901010124,1,(UNK) UNKN,(UNK),Passenger
201901010153,1,2012 CHEV,IMP,Passenger
201901010153,2,(UNK) VOLV,(UNK),Tractor Without Semi-Trailer
201901010580,1,2005 CADI,CTS,Passenger
201901010164,2,2015 NISS,ALT,Passenger
201901010164,3,2018 VOLK,UNK,SUV
201901010324,3,(UNK) (UNK),(UNK),Passenger
201901010614,2,(UNK) UNKN,(UNK),Motor Driven Cycle
201901010622,2,2006 JEEP,LBY,Passenger
201901010508,1,2008 (UNK),(UNK),Passenger
201901010324,2,(UNK) SUBA,(UNK),Passenger
201901010711,1,2015 (UNK),(UNK),Passenger
201901010717,1,2000 CHEV,S10,Pickup
201901010324,4,2004 JEP ,(UNK),Passenger
201901010324,1,(UNK) (UNK),(UNK),Passenger
201901010812,1,2007 HOND,PXL,SUV
201901010640,2,2015 TOYT,COA,Passenger
201901010508,2,2014 MITS,LAN,Passenger
201901011013,2,2007 TOYT,HGH,Passenger
201901010622,1,2004 CHEV,TH4,SUV
201901010614,1,2014 JEP ,(UNK),Passenger
201901010640,1,1995 BMW ,318,Passenger
201901011258,2,2007 CHEV,TBZ,SUV
201901011166,2,2013 HYUN,ELN,Passenger
201901011167,1,2015 BMW ,(UNK),Passenger
201901011167,2,2017 TOYT,CAM,Passenger
201901011342,3,2004 TOYT,RAV,SUV
201901010853,2,2016 DODG,CVN,Van/Mini-Van
201901010873,2,2008 HOND,ACC,Passenger
201901010978,1,(UNK) UNKN,UNK,Passenger
201901010987,2,2010 TOYT,YAR,Passenger
201901010853,1,2015 MITS,OUT,SUV
201901010873,1,2012 NISS,RGE,SUV
201901011439,1,2004 BUIC,LES,Passenger
201901011443,1,(UNK) CHEV,CRZ,Passenger
201901011485,1,(UNK) UNKN,UNK,Unknown
201901011534,1,2004 PONT,GPG,Passenger
201901010987,1,1998 FORD,RNG,Pickup
201901011666,2,2012 VOLK,JET,Passenger
201901011166,1,2000 VOLV,(UNK),Tractor With Semi-Trailer
201901011184,1,2004 TOYT,XLE,Van/Mini-Van
201901011258,1,2017 NISS,RGE,SUV
201901011013,1,2015 HYUN,ELN,Passenger
201901011756,2,2015 FORD,XPL,SUV
201901011731,1,2002 CHEV,TOE,Passenger
201901011731,13,2004 HYUN,SON,Passenger
201901011764,1,2001 MERC,SAB,Passenger
201901011731,8,2019 HINO,(UNK),Truck Single Unit
201901011377,1,2014 TOYT,CAM,Passenger
201901011342,1,2008 CHEV,SLV,Pickup
201901011342,2,2003 PONT,GP1,Passenger
201901011898,2,2019 KW,TK,Tractor With Semi-Trailer
201901012046,1,2014 CHRY,200,Passenger
201901012224,2,2008 DODG,CVN,Van/Mini-Van
201901012374,3,2005 CHRY,PCF,SUV
201901011443,2,(UNK) TOYT,COA,Passenger
201901011731,2,2016 (UNK),(UNK),Van/Mini-Van
201901011731,3,2011 GMC ,TER,Passenger
201901011731,7,2017 CHEV,CRZ,Passenger
201901011731,10,2015 TOYT,RAV,Passenger
201901011731,14,2013 MITS,LAN,Passenger
201901011665,1,2010 CHEV,CBT,Passenger
201901011666,1,2011 NISS,VRS,Passenger
201901011665,2,2017 CHEV,EQS,SUV
201901011731,4,2015 BUIC,ENR,Passenger
201901011731,11,2013 CHEV,EQX,Passenger
201901011731,6,2019 FORD,FUS,Passenger
201901011731,9,2003 TOYT,RAV,Passenger
201901012224,1,2011 (UNK),(UNK),Van/Mini-Van
201901011731,12,2010 SUBA,LEG,Passenger
201901011764,2,2004 HOND,ACC,Passenger
201901011731,5,2017 FORD,ECP,Passenger
201901011756,1,2017 HYUN,SON,Passenger
201901011898,1,2006 CHEV,IMP,Passenger
201901011920,1,2015 ISU ,(UNK),Other
