crash_id,veh_num,age,sex,injury_severity,person_type
202301411434,1,39,F,3.0,1
202301420222,1,47,M,3.0,1
202301420222,1,73,M,4.0,7
202301420222,1,54,M,3.0,7
202301420222,2,66,M,2.0,1
202301148578,1,30,F,0.0,1
202301148578,2,62,M,3.0,1
202301412361,1,18,M,3.0,1
202301412361,1,18,M,3.0,7
202301412361,1,20,F,3.0,7
202301412361,1,21,F,3.0,7
202301149372,1,57,F,3.0,1
202301149372,2,40,F,2.0,1
202301149372,2,4,F,0.0,7
202301149374,1,67,M,3.0,2
202301149374,2,32,F,0.0,1
202301149374,2,16,M,0.0,7
202301149961,1,27,F,3.0,1
202301149961,2,52,M,3.0,1
202301149968,1,39,M,3.0,1
202301413331,1,49,M,2.0,1
202301413331,2,31,M,3.0,1
202301213594,1,32,M,0.0,1
202301213594,1,31,M,3.0,7
202301213594,2,36,F,0.0,1
202301213635,1,40,M,0.0,1
202301213635,2,54,M,3.0,1
202301268524,1,25,F,0.0,1
202301268524,2,39,F,3.0,2
202301268553,1,99,U,0.0,1
202301268553,2,16,M,3.0,3
202301022893,1,20,M,3.0,1
202301022912,1,24,F,3.0,1
202301022912,2,50,F,3.0,1
202301022912,2,15,F,0.0,7
202301022912,2,14,M,0.0,7
202301022932,1,64,M,0.0,1
202301022932,2,62,M,3.0,1
202301072136,1,99,M,0.0,1
202301072136,2,53,M,0.0,1
202301072136,2,22,M,3.0,7
202301072136,2,23,F,3.0,7
202301281618,1,19,F,0.0,1
202301281618,2,69,F,3.0,2
202301281630,1,70,M,3.0,1
202301290214,1,22,M,4.0,1
202301281653,1,45,M,0.0,1
202301281653,2,29,M,3.0,1
202301281653,2,39,M,3.0,7
202301281653,2,34,M,0.0,7
202301213829,1,17,F,3.0,1
202301213839,1,57,F,3.0,1
202301223075,1,18,M,4.0,1
202301223205,1,27,M,4.0,1
202301223205,1,13,M,3.0,7
202301223205,1,29,M,4.0,7
202301223205,2,65,F,3.0,1
202301213891,1,44,M,3.0,1
202301013961,1,26,F,0.0,1
202301013961,2,46,F,3.0,1
202301013995,1,31,F,3.0,1
202301013995,1,0,F,3.0,7
202301013995,1,62,F,3.0,7
202301054275,1,59,M,3.0,1
202301054275,2,22,F,3.0,1
202301054301,1,99,U,0.0,1
202301054301,2,61,M,3.0,3
202301213529,1,57,M,1.0,1
202301213529,1,33,M,0.0,7
202301213529,2,69,M,3.0,1
202301213544,1,33,M,1.0,1
202301213544,1,59,F,3.0,7
202301213544,1,31,M,2.0,7
202301213544,2,46,M,3.0,1
202301213544,2,3,F,3.0,7
202301054171,1,55,M,2.0,1
202301054171,2,46,F,3.0,1
202301054171,2,17,M,1.0,7
202301030843,1,59,M,3.0,1
202301030843,1,49,M,0.0,7
202301292588,1,99,U,0.0,1
202301292588,2,19,M,3.0,3
202301292622,1,60,M,3.0,1
202301292622,1,56,F,3.0,7
202301292622,2,27,F,0.0,1
202301292626,1,30,M,0.0,1
202301292626,2,44,M,0.0,1
202301292626,2,44,F,3.0,7
202301213515,1,51,F,3.0,1
202301213515,2,54,F,0.0,1
202301253354,1,40,F,0.0,1
202301253354,1,7,M,0.0,7
202301253354,1,11,M,0.0,7
202301253354,2,31,M,3.0,1
202301253364,1,43,F,0.0,1
202301253364,1,38,M,0.0,7
202301253364,2,52,M,3.0,3
202301253473,1,45,F,3.0,1
202301253473,1,18,F,2.0,7
202301253473,1,0,F,0.0,7
202301022825,1,52,M,0.0,1
202301022825,2,84,F,3.0,2
202301080220,1,39,M,0.0,1
202301080220,1,64,M,0.0,7
202301080220,2,25,M,4.0,1
202301292506,1,47,F,2.0,1
202301292506,2,39,M,3.0,1
202301292506,3,35,M,0.0,1
202301292506,3,28,M,0.0,7
202301292568,1,36,F,4.0,1
202301292568,1,17,F,2.0,7
202301292568,1,13,M,2.0,7
202301235541,1,16,F,0.0,1
202301235541,1,17,M,0.0,7
202301235541,2,42,M,3.0,1
202301246783,1,57,M,4.0,1
202301281856,1,51,M,3.0,1
202301281856,2,25,M,0.0,1
202301281856,3,24,M,0.0,1
202301253343,1,45,M,0.0,1
202301253343,2,45,F,3.0,1
202301253343,2,20,F,0.0,7
202301253346,1,99,M,0.0,1
202301253346,2,57,M,3.0,3
202301030627,1,43,M,3.0,1
202301030627,2,18,F,3.0,1
202301030627,2,18,F,3.0,7
202301030665,1,52,F,0.0,1
202301030665,1,11,M,0.0,7
202301030665,1,12,F,0.0,7
