Crash Number,City Town Name,Crash Date,Crash Status,Crash Time,Number of Vehicles,Total Fatalities,County Name,Hit and Run,Vehicle Sequence of Events (All Vehicles),Latitude,Longitude,Street Number,Roadway,Near Intersection Roadway,Vehicle Unit Number,Vehicle Make,Vehicle Model,Vehicle Model Year,Driver Violation Code,Person Number,Age,Ejected Description,Injury Type,Person Type,Sex
4128599,NATICK,01/02/2016,Closed,12:39 PM,1.0,0.0,MIDDLESEX,No hit and run, V1:(Collision with pedestrian),42.28455764,-71.34744974,23, MAIN ST,,1.0,GMC,,2005.0,"(89 11),(90 24)",1.0,89.0,Not ejected,No injury,Driver,M - Male
4128599,NATICK,01/02/2016,Closed,12:39 PM,1.0,0.0,MIDDLESEX,No hit and run, V1:(Collision with pedestrian),42.28455764,-71.34744974,23, MAIN ST,,1.0,GMC,,2005.0,,2.0,83.0,Not ejected,No injury,Passenger,F - Female
4128599,NATICK,01/02/2016,Closed,12:39 PM,1.0,0.0,MIDDLESEX,No hit and run, V1:(Collision with pedestrian),42.28455764,-71.34744974,23, MAIN ST,,,,,,,3.0,71.0,,Non-fatal injury - Incapacitating,Vulnerable User,M - Male
4129506,ATTLEBORO,01/02/2016,Closed,4:39 PM,2.0,0.0,BRISTOL,No hit and run," V1:(Collision with motor vehicle in traffic),(Collision with ditch) V2:(Collision with motor vehicle in traffic),(Collision with ditch)",41.93118538,-71.26031444,947, PARK ST Rte 118,,1.0,HYUN,,2004.0,(89/4A),1.0,20.0,Not ejected,No injury,Driver,M - Male
4129506,ATTLEBORO,01/02/2016,Closed,4:39 PM,2.0,0.0,BRISTOL,No hit and run," V1:(Collision with motor vehicle in traffic),(Collision with ditch) V2:(Collision with motor vehicle in traffic),(Collision with ditch)",41.93118538,-71.26031444,947, PARK ST Rte 118,,1.0,HYUN,,2004.0,,2.0,22.0,Not ejected,No injury,Passenger,M - Male
4129506,ATTLEBORO,01/02/2016,Closed,4:39 PM,2.0,0.0,BRISTOL,No hit and run," V1:(Collision with motor vehicle in traffic),(Collision with ditch) V2:(Collision with motor vehicle in traffic),(Collision with ditch)",41.93118538,-71.26031444,947, PARK ST Rte 118,,2.0,TOYT,,2011.0,,3.0,56.0,Not ejected,Unknown,Driver,M - Male
4129506,ATTLEBORO,01/02/2016,Closed,4:39 PM,2.0,0.0,BRISTOL,No hit and run," V1:(Collision with motor vehicle in traffic),(Collision with ditch) V2:(Collision with motor vehicle in traffic),(Collision with ditch)",41.93118538,-71.26031444,947, PARK ST Rte 118,,2.0,TOYT,,2011.0,,4.0,51.0,Not ejected,Unknown,Passenger,F - Female
4129506,ATTLEBORO,01/02/2016,Closed,4:39 PM,2.0,0.0,BRISTOL,No hit and run," V1:(Collision with motor vehicle in traffic),(Collision with ditch) V2:(Collision with motor vehicle in traffic),(Collision with ditch)",41.93118538,-71.26031444,947, PARK ST Rte 118,,2.0,TOYT,,2011.0,,5.0,73.0,Not ejected,Non-fatal injury - Incapacitating,Passenger,F - Female
4129633,HOLYOKE,01/01/2016,Closed,4:11 AM,2.0,2.0,HAMPDEN,No hit and run," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),(Collision with utility pole)",42.20250137,-72.61475483,, HAMPSHIRE ST / CHESTNUT ST,,1.0,TOYT,,2001.0,,1.0,21.0,Not ejected,Non-fatal injury - Possible,Driver,M - Male
4129633,HOLYOKE,01/01/2016,Closed,4:11 AM,2.0,2.0,HAMPDEN,No hit and run," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),(Collision with utility pole)",42.20250137,-72.61475483,, HAMPSHIRE ST / CHESTNUT ST,,2.0,NISS,,1999.0,,2.0,18.0,Not ejected,Non-fatal injury - Possible,Driver,F - Female
4129633,HOLYOKE,01/01/2016,Closed,4:11 AM,2.0,2.0,HAMPDEN,No hit and run," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),(Collision with utility pole)",42.20250137,-72.61475483,, HAMPSHIRE ST / CHESTNUT ST,,2.0,NISS,,1999.0,,3.0,48.0,Not ejected,Fatal injury (K),Passenger,F - Female
4129633,HOLYOKE,01/01/2016,Closed,4:11 AM,2.0,2.0,HAMPDEN,No hit and run," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),(Collision with utility pole)",42.20250137,-72.61475483,, HAMPSHIRE ST / CHESTNUT ST,,2.0,NISS,,1999.0,,4.0,52.0,Not ejected,Fatal injury (K),Passenger,M - Male
4129633,HOLYOKE,01/01/2016,Closed,4:11 AM,2.0,2.0,HAMPDEN,No hit and run," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),(Collision with utility pole)",42.20250137,-72.61475483,, HAMPSHIRE ST / CHESTNUT ST,,2.0,NISS,,1999.0,,5.0,23.0,Not ejected,Non-fatal injury - Non-incapacitating,Passenger,F - Female
4129633,HOLYOKE,01/01/2016,Closed,4:11 AM,2.0,2.0,HAMPDEN,No hit and run," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),(Collision with utility pole)",42.20250137,-72.61475483,, HAMPSHIRE ST / CHESTNUT ST,,2.0,NISS,,1999.0,,6.0,24.0,Not ejected,Non-fatal injury - Non-incapacitating,Passenger,M - Male
4130565,HOLYOKE,01/04/2016,Closed,7:09 AM,2.0,1.0,HAMPDEN,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.19507895,-72.63528134,, WESTFIELD RD / ROOSEVELT AVE,,1.0,TOYT,,2007.0,,1.0,53.0,Not ejected,Fatal injury (K),Driver,F - Female
4130565,HOLYOKE,01/04/2016,Closed,7:09 AM,2.0,1.0,HAMPDEN,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.19507895,-72.63528134,, WESTFIELD RD / ROOSEVELT AVE,,2.0,LINC,,2013.0,,2.0,75.0,Not ejected,Non-fatal injury - Possible,Driver,M - Male
4130592,BROCKTON,01/04/2016,Closed,12:49 PM,3.0,0.0,PLYMOUTH,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),42.08040502,-70.99624831,, CRESCENT ST / GLADSTONE ST,,1.0,FORD,,2011.0,(90 10),1.0,29.0,Not ejected,Non-fatal injury - Incapacitating,Driver,F - Female
4130592,BROCKTON,01/04/2016,Closed,12:49 PM,3.0,0.0,PLYMOUTH,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),42.08040502,-70.99624831,, CRESCENT ST / GLADSTONE ST,,2.0,NISS,,2006.0,,2.0,41.0,Not ejected,No injury,Driver,F - Female
4130592,BROCKTON,01/04/2016,Closed,12:49 PM,3.0,0.0,PLYMOUTH,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),42.08040502,-70.99624831,, CRESCENT ST / GLADSTONE ST,,3.0,HOND,,2002.0,(85 2),3.0,37.0,Not ejected,No injury,Driver,M - Male
4131678,YARMOUTH,01/06/2016,Closed,5:28 PM,1.0,0.0,BARNSTABLE,No hit and run, V1:(Collision with pedestrian),41.66706995,-70.18687701,1329, ROUTE 28,,,,,,,1.0,19.0,,Non-fatal injury - Incapacitating,Vulnerable User,M - Male
4131678,YARMOUTH,01/06/2016,Closed,5:28 PM,1.0,0.0,BARNSTABLE,No hit and run, V1:(Collision with pedestrian),41.66706995,-70.18687701,1329, ROUTE 28,,1.0,HOND,ACCORD,2000.0,,2.0,94.0,Not ejected,No injury,Driver,F - Female
4131852,HOPEDALE,01/06/2016,Closed,7:14 AM,2.0,0.0,WORCESTER,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.11504969,-71.51050805,267, SOUTH MAIN ST,,1.0,TOYT,,2002.0,,1.0,44.0,Not ejected,Non-fatal injury - Incapacitating,Driver,F - Female
4131852,HOPEDALE,01/06/2016,Closed,7:14 AM,2.0,0.0,WORCESTER,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.11504969,-71.51050805,267, SOUTH MAIN ST,,2.0,GMC,,2005.0,,2.0,45.0,Not ejected,Non-fatal injury - Incapacitating,Driver,M - Male
4131852,HOPEDALE,01/06/2016,Closed,7:14 AM,2.0,0.0,WORCESTER,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.11504969,-71.51050805,267, SOUTH MAIN ST,,2.0,GMC,,2005.0,,3.0,38.0,Not ejected,No injury,Passenger,M - Male
4131852,HOPEDALE,01/06/2016,Closed,7:14 AM,2.0,0.0,WORCESTER,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.11504969,-71.51050805,267, SOUTH MAIN ST,,2.0,GMC,,2005.0,,4.0,31.0,Not ejected,No injury,Passenger,M - Male
4131852,HOPEDALE,01/06/2016,Closed,7:14 AM,2.0,0.0,WORCESTER,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.11504969,-71.51050805,267, SOUTH MAIN ST,,2.0,GMC,,2005.0,,5.0,46.0,Not ejected,No injury,Passenger,M - Male
4131852,HOPEDALE,01/06/2016,Closed,7:14 AM,2.0,0.0,WORCESTER,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.11504969,-71.51050805,267, SOUTH MAIN ST,,2.0,GMC,,2005.0,,6.0,34.0,Not ejected,No injury,Passenger,M - Male
4132041,BEDFORD,01/08/2016,Closed,11:40 AM,1.0,0.0,MIDDLESEX,No hit and run," V1:(Ran off road left),(Overturn/rollover)",42.50728315,-71.24879426,, Rte 3 S, UNKNOWN,1.0,TOYOTA,,2010.0,(89 4A),1.0,36.0,Not ejected,Non-fatal injury - Incapacitating,Driver,F - Female
4132058,FALL RIVER,01/01/2016,Closed,12:47 AM,2.0,0.0,BRISTOL,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),41.70690505,-71.16615312,, Rte 195 W, UNKNOWN,1.0,GMC,,2002.0,,1.0,33.0,Not ejected,Non-fatal injury - Incapacitating,Driver,Not reported
4132058,FALL RIVER,01/01/2016,Closed,12:47 AM,2.0,0.0,BRISTOL,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),41.70690505,-71.16615312,, Rte 195 W, UNKNOWN,1.0,GMC,,2002.0,,2.0,,Not ejected,No injury,Passenger,F - Female
4132058,FALL RIVER,01/01/2016,Closed,12:47 AM,2.0,0.0,BRISTOL,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),41.70690505,-71.16615312,, Rte 195 W, UNKNOWN,1.0,GMC,,2002.0,,3.0,,Not ejected,Non-fatal injury - Incapacitating,Passenger,F - Female
