id,vehicle_number,year,make,model,hit_run
20080101I-2008-000992,1,2000,DODGE,RAM, 
20080101I-2008-000992,2,1997,MITSUBISHI,GAL, 
20080101I-2008-013612,1,0   ,,,Y
20080101I-2008-013622,1,0   ,TOYOTA,4 RUNNER, 
20080101I-2008-013622,2,2006,CHEVROLET,IMP, 
20080101I-2008-013622,3,2001,JEEP,CHK, 
20080101I-2008-015520,1,2008,NISSAN,SEN, 
2008010208-000890,1,1992,GMC,JIMMY, 
2008010208-029128,1,2000,CHRYSLER,4 DOOR, 
2008010208-049914,1,2008,TOYOTA,YARIS, 
2008010208-051766,1,1997,MAZDA,WAGON, 
2008010208-051766,2,1996,BUICK,4 DOOR, 
2008010208-059535,1,1996,FORD,ECONOLINE, 
2008010208-059535,2,2007,HARLEY DAVIDSON,SLH, 
2008010208-063708,1,2005,HONDA,ACCORD, 
2008010208-087177,1,1996,LINCOLN,4 DR, 
2008010208-087177,2,0   ,,, 
2008010208-090136,1,2004,HONDA,ACCORD, 
2008010208-092410,1,1997,CHAMP,JITNEY, 
2008010208-115539,1,2007,JAGUAR,CON, 
2008010208-11638,1,1998,FORD,WAGON, 
2008010208-11638,2,1995,MERCURY,2 DOOR, 
2008010208-117469,1,2004,HUMMER,H2, 
2008010208-117469,2,2004,ACURA,MDX, 
2008010208-148904,1,1998,FORD,CROWN VIC, 
2008010208-154165,1,2002,MITSUBISHI,LANCER,Y
20080102A160-2008-00046A,1,1997,MITSUBISHI,GALANT, 
20080103I-2008-04959,1,2008,SUZUKI,GSX650, 
20080104I-2008-00550,1,2003,KIA,RIO, 
20080104I-2008-00550,2,1993,FORD,PICKUP, 
20080104I-2008-01558,1,2005,NISSAN,MURANO, 
20080104I-2008-01558,2,1999,BUICK,LE-SABRE, 
20080104I-2008-06114,1,2003,HARLEY DAVIDSON,MOTORC, 
20080104I-2008-06114,2,2007,FREIGHTLINER,TRT, 
20080105A090-2008-00016P,1,2004,DODGE,RAM, 
20080105A090-2008-00090A,1,1994,LINCOLN,TOWNCAR, 
20080105A090-2008-00102A,1,2005,KIA,SORRENTO, 
20080105A090-2008-00102A,2,1991,HONDA,ACCORD, 
20080105A090-2008-00277A,1,2005,FORD,FREESTAR, 
20080105A090-2008-00277A,2,2001,CHEVROLET,MALIBU, 
20080105A090200800206,1,2005,BUICK,LAC, 
200801072008-0048,1,2000,VOLKSWAGEN,PAS, 
200801072008-0048,2,2002,KIA,SPO, 
200801072008-0137,1,2006,DODGE,TRK, 
200801072008-0137,2,2004,DODGE,RAM, 
200801072008-0137,3,1993,TOYOTA,DX, 
200801072008-0604,1,2003,VOLKSWAGEN,PASS, 
200801072008-0604,2,1993,CHEVROLET,BLA, 
200801072008-1110,1,1995,DODGE,INT., 
200801072008-1110,2,1996,BMW,525, 
200801072008-2165,1,2000,CAR,SCHOOL BUS, 
200801072008-2165,2,2007,YAMAHA,R-6, 
200801072008-2264,1,1995,OLDS,REG, 
200801072008-2264,2,1995,CHEVROLET,, 
200801072008-4721,1,2007,HONDA,VT-7, 
200801072008-5291,1,1999,GDN,TRK., 
200801072008-5291,2,2004,MITSUBISHI,LAN, 
200801072008-5766,1,2005,FORD,TAU, 
200801072008-6086,1,2006,CHRYSLER,SEB, 
200801072008-6086,2,2008,FORD,MUST, 
200801072008-6088,1,1999,DODGE,DUR, 
200801072008-6088,2,2002,CHEVROLET,S-10, 
200801072008-6263,1,2004,TOYOTA,COR, 
200801072008-6263,2,1999,FORD,PKUP, 
2008010808-068418,1,2002,MITSUBISHI,GALLANT, 
2008010808-10051,1,1999,MACK,MCNEILUS, 
2008010808-17214,1,1992,MERCURY,SDN, 
2008010808-22107,1,2003,DODGE,DAKOTA, 
2008010808-43291,1,1994,FORD,F150, 
2008010808-43291,2,2004,CADILLAC,CTS, 
2008010808-46059,1,2002,ACURA,RSX, 
2008010808-56351,1,2000,STERLING,95H, 
2008010808-57295,1,2006,HONDA,CBR 600RR, 
2008010808-5860,1,2003,CHEVROLET,MALIBU, 
2008010808-58613,1,2008,SUZUKI,RENO,Y
2008010808-60957,1,1997,CHEVROLET,BLAZER, 
2008010808-60957,2,1996,FORD,TAURUS, 
2008010808-60957,3,2000,HYUNDAI,ELANTRA, 
2008010808-63106,1,2006,BMW,M3, 
20080108E030200800221A,1,2001,TOYOTA,CAMRY, 
20080108E030200800221A,2,2002,CHEVROLET,2500, 
2008011108-17349,1,1993,ACURA,INT, 
2008011108-17349,2,1997,MERCURY,MRQ, 
2008011108-22453,1,2008,FORD,FOCUS, 
2008011108-25755,1,0   ,CHEVROLET,COLORADO, 
200801112008-00004947,1,2005,MAZDA,MAZADA 6, 
200801112008-00004947,2,2003,DODGE,RAM 1500, 
200801112008-00006332,1,2008,YAMAHA,, 
200801112008-00011649,1,1995,MAZDA,626, 
200801112008-00014133,1,2000,STERLING,LW, 
200801112008-00020921,1,1997,PLYMOUTH,BREEZE, 
200801112008-00020921,2,2002,DODGE,NEON, 
200801112008-00029006,1,1999,CHEVROLET,BLAZER, 
200801112008-00030216,1,2005,TOYOTA,TUNDRA, 
200801112008-00031246,1,1997,BMW,Z3, 
200801112008-00031246,2,2006,KIA,SPECTRA, 
200801112008-20040,1,2000,NISSAN,MAX, 
200801112008-20040,2,2002,DODGE,DUR, 
2008011208-00192,1,2003,CHEVROLET,4 DR, 
2008011208-03604,1,2003,HYUNDAI,4 DOOR, 
2008011208-17442,1,2004,CHRYSLER,CONVERRTIBLE, 
2008011208-17442,2,0   ,SUZUKI,QUAD, 
2008011208-28606,1,1998,DODGE,4 DOOR, 
2008011208-28606,2,1995,MACK,TRACTOR, 
2008011208-31136,1,2002,HONDA,2 DOOR, 
2008011208-31136,2,2001,FORD,WAGON, 
2008011208-37785,1,2002,HONDA,WAGON, 
2008011208-38455,1,2005,FREIGHTLINER,TT, 
2008011208-38455,2,1998,JEEP,CRK, 
2008011208-38455,3,2006,HONDA,ELE, 
2008011208-38455,4,2006,FORD,F150, 
2008011208-38455,5,0   ,,,Y
2008011208-41649,1,2000,NISSAN,QUE, 
2008011208-41649,2,2001,FORD,TAU, 
2008011208-5751,1,2001,AMERICAN MOTORS,BUS, 
2008011208-5751,2,1996,CHRYSLER,2 DOOR, 
2008011208-65291,1,2009,TOYOTA,4-DOOR, 
2008011208-65291,2,1992,NISSAN,SENTRA, 
2008011208-65291,3,2006,ACURA,RSX, 
20080112A160200800308A,1,2002,HYUNDAI,SONATA, 
20080112A160200800308A,2,2008,PONTIAC,G6, 
2008011308-21846,1,2000,TOYOTA,CAMRY, 
20080113I-2008-02079,1,1998,MERCURY,TRA, 
20080113I-2008-10621,1,1987,CHEVROLET,CELEBRIT, 
