id,dt,lat,lon,city,county,street_1,street_2,crash_type,death_count,severity
20090101I-2009-013536,2009-10-24 02:04:00,39.39320,74.49017,ABSECON CITY,ATLANTIC,ATLANTIC COUNTY 646 II,RT 30,11,0,I
2009010209-020066,2009-02-17 00:01:00,39.36213,74.43287,ATLANTIC CITY,ATLANTIC,DR MARTIN LUTHER KING JR BLVD,ARCTIC AVENUE,03,0,I
2009010209-024999,2009-03-01 06:29:00,39.36413,74.46869,ATLANTIC CITY,ATLANTIC,US 40,,13,0,I
2009010209-039386,2009-04-06 17:02:00,39.36378,74.42120,ATLANTIC CITY,ATLANTIC,MARYLAND AVE,PACIFIC AVENUE,02,0,I
2009010209-044819,2009-04-19 20:37:00,39.34969,74.45850,ATLANTIC CITY,ATLANTIC,CAPTAIN JOHN O'DONNELL PARKWAY,DOVER AVENUE,13,0,I
2009010209-046462,2009-04-23 20:58:00,39.37251,74.43666,ATLANTIC CITY,ATLANTIC,US 30,NEW YORK AVE,03,0,I
2009010209-074576,2009-06-24 16:18:00,39.35023,74.45398,ATLANTIC CITY,ATLANTIC,US 40,ATLANTIC AVE / PACIFIC AVE,01,0,I
2009010209-079311,2009-07-04 02:32:00,39.35856,74.43689,ATLANTIC CITY,ATLANTIC,ARKANSAS AVE,ATLANTIC AVE,13,0,I
2009010209-081539,2009-07-07 19:14:00,39.35853,74.44587,ATLANTIC CITY,ATLANTIC,MADISON AVE,TEXAS AVENUE,13,0,I
2009010209-083084,2009-07-11 04:28:00,39.37276,74.44319,ATLANTIC CITY,ATLANTIC,HORACE J BRYANT JR BLVD,OHIO AVENUE,06,0,I
2009010209-095088,2009-08-04 23:30:00,39.37041,74.42993,ATLANTIC CITY,ATLANTIC,US 30,N CAROLINA AVE,03,0,I
2009010209-095534,2009-08-05 21:21:00,39.35905,74.43569,ATLANTIC CITY,ATLANTIC,ATLANTIC AVE,MICHIGAN AVENUE,13,0,I
2009010209-112575,2009-09-09 19:46:00,39.35877,74.46086,ATLANTIC CITY,ATLANTIC,US 40,CROSSAN AVE,13,0,I
2009010209-127902,2009-10-16 14:25:00,39.37744,74.45267,ATLANTIC CITY,ATLANTIC,US 30,,11,0,I
2009010209-128379,2009-10-17 19:39:00,39.37332,74.43930,ATLANTIC CITY,ATLANTIC,US 30,NJ 87 / MARTIN LUTHER KING BLVD,13,0,I
2009010209-143849,2009-11-25 18:17:00,39.35202,74.44823,ATLANTIC CITY,ATLANTIC,PACIFIC AVE,CHELSEA AVENUE,13,0,I
2009010209-149100,2009-12-09 11:59:00,39.36211,74.42328,ATLANTIC CITY,ATLANTIC,PACIFIC AVE,PENNSYLVANIA AVENUE,13,0,I
2009010209-156322,2009-12-29 15:22:00,39.35439,74.44238,ATLANTIC CITY,ATLANTIC,PACIFIC AVE,TEXAS AVENUE,13,0,I
20090102A160-2009-00085A,2009-02-16 23:21:00,39.37942,74.48677,ATLANTIC CITY,ATLANTIC,ATLANTIC CITY EXPRESSWAY,,11,0,I
20090102A160-2009-00145A,2009-03-03 11:06:00,39.37418,74.44336,ATLANTIC CITY,ATLANTIC,ATLANTIC CITY-BRIGANTINE CONNECTOR,,06,0,I
20090103I-2009-06054,2009-04-18 09:28:00,39.40149,74.37358,BRIGANTINE CITY,ATLANTIC,ATLANTIC COUNTY 638,FIFTEENTH STREET,13,0,I
20090103I-2009-09347,2009-06-08 08:03:00,39.42079,74.37191,BRIGANTINE CITY,ATLANTIC,BAY SHORE AVE,ROOSEVELT BOULEVARD,06,0,I
20090103I-2009-12617,2009-07-26 15:02:00,39.38826,74.39314,BRIGANTINE CITY,ATLANTIC,HARBOR BEACH BLVD,FORTY-FOURTH STREET,14,0,I
20090105A090-2009-00117A,2009-05-02 22:52:00,39.48003,74.89833,BUENA VISTA TWP,ATLANTIC,ROUTE 540,,04,0,I
20090106A090-2009-00181A,2009-07-12 20:56:00,39.29815,74.75153,CORBIN CITY,ATLANTIC,NJ 50,,10,0,I
200901072009-5625,2009-07-10 12:57:00,39.57571,74.59119,EGG HARBOR CITY,ATLANTIC,ROUTE 563,CR 624 / CLARKS-LANDING RD,11,0,I
2009010809-007356,2009-02-01 19:59:00,39.35795,74.65556,EGG HARBOR TWP,ATLANTIC,ATLANTIC COUNTY 615,SCHOOL HOUSE ROAD,11,0,I
2009010809-040192,2009-06-22 16:46:00,39.39575,74.59301,EGG HARBOR TWP,ATLANTIC,ATLANTIC COUNTY 684,MAIN AVENUE,11,0,I
2009010809-045671,2009-07-19 07:52:00,39.38400,74.61406,EGG HARBOR TWP,ATLANTIC,ATLANTIC COUNTY 662,FERNWOOD AVENUE,03,0,I
2009010809-074501,2009-12-03 20:28:00,39.36899,74.62292,EGG HARBOR TWP,ATLANTIC,ROUTE 559 ALTERNATE,LEAP ST,14,0,I
2009010809-13305,2009-02-26 13:38:00,39.42936,74.60144,EGG HARBOR TWP,ATLANTIC,US 40,ELMWOOD AVE,03,0,I
2009010809-14028,2009-03-01 18:32:00,39.39922,74.65193,EGG HARBOR TWP,ATLANTIC,ROUTE 559 ALTERNATE,ALDER AVE,11,0,I
2009010809-41916,2009-07-01 14:48:00,39.38165,74.49778,EGG HARBOR TWP,ATLANTIC,US 40,FOX PL,03,0,I
2009010809-47830,2009-07-29 23:35:00,39.40487,74.55716,EGG HARBOR TWP,ATLANTIC,ATLANTIC COUNTY 608,GARDEN STATE PARKWAY ENTRANCE #37 N,14,0,I
