id,vehicle_number,position,occupant_number,age,sex,condition
2012010212-008941,1,01,1,65,M,  
2012010212-042615,1,01,1,55,F,  
2012010212-050078,1,01,1,20,F,  
2012010212-050078,1,03,2,19,F,  
2012010212-050078,1,04,3,11M,F,  
2012010212-050078,1,05,4,1,M,  
2012010212-050078,1,06,5,19,F,  
2012010212-083769,1,01,1,20,M,04
2012010212-090795,1,01,1,24,F,  
2012010212-090795,2,01,2,19,M,  
2012010212-090795,2,03,3,25,F,  
2012010212-101970,1,01,1,40,M,04
2012010212-101970,2,01,2,58,M,02
2012010212-101970,3,01,3,40,M,03
2012010212-116690,1,01,1,, ,  
2012010212-122317,1,01,1,33,M,02
2012010212-122317,1,03,2,32,M,03
2012010212-122317,2,01,3,49,M,  
20120103I-2012-07548,1,01,1,21,M,02
20120103I-2012-07548,1,03,2,20,F,03
20120103I-2012-12965,1,01,1,70,M,  
20120103I-2012-12965,2,01,2,50,M,02
20120105A090-2012-00226A,1,01,1,59,F,02
20120105A090-2012-00226A,2,01,2,45,F,  
20120105A090-2012-00226A,3,01,3,48,M,02
20120105A090-2012-00226A,3,03,4,38,M,02
20120105A090-2012-00226A,3,06,5,35,M,02
20120105A090-2012-00297A,1,01,1,54,M,  
20120105A090-2012-00297A,1,03,2,53,F,  
20120105A090-2012-00297A,2,01,3,79,M,02
2012010712-4538,1,01,1,21,M,02
2012010712-4538,1,03,2,29,M,02
2012010812-066077,1,01,1,77,F,02
2012010812-066077,1,03,2,15,M,  
2012010812-066077,2,01,3,18,M,  
2012010812-09873,1,01,1,42,M,02
2012010812-19010,1,01,1,34,F,02
2012010812-56094,1,01,1,52,F,  
2012010812-56094,1,04,2,7,F,  
2012010812-56094,1,09,3,12,F,  
20120109A090-2012-00328A,1,01,1,19,F,02
201201112012-00003997,1,01,1,40,F,02
201201112012-00009345,1,01,1,28,M,02
201201112012-00009345,2,01,2,43,F,  
201201112012-00009345,2,03,3,16,M,  
201201112012-00009345,2,04,4,14,M,  
201201112012-00009345,2,06,5,14,M,  
201201112012-00011971,1,01,1,20,M,  
201201112012-00011971,1,03,2,21,M,04
201201112012-00011971,1,06,3,21,M,02
201201112012-00022956,1,01,1,54,M,02
201201112012-00022956,2,01,2,17,M,04
201201112012-00035256,1,01,1,30,M,03
201201112012-00035256,2,01,2,52,M,02
201201112012-00035256,3,01,3,47,F,04
201201112012-00035256,4,01,4,65,F,  
201201112012-00037289,1,01,1,19,M,02
2012011212-00501,1,01,1,40,F,04
2012011212-00501,1,03,2,23,M,  
2012011212-00501,2,01,3,59,M,02
2012011212-18407,1,01,1,33,M,02
2012011212-23197,1,01,1,34,M,04
2012011212-23197,1,03,2,33,F,04
2012011212-23197,1,04,3,1,M,04
2012011212-23197,1,05,4,6,M,04
2012011212-23197,1,06,5,3,F,04
2012011212-23197,2,01,8,39,F,04
2012011212-23197,2,03,9,15,M,  
2012011212-23197,2,04,10,10,M,  
2012011212-23197,3,01,6,20,F,03
2012011212-23197,3,03,7,22,F,02
2012011212-24339,1,01,1,20,M,02
2012011212-38661,1,01,1,29,F,  
2012011212-38661,1,04,2,5,M,  
2012011212-38661,1,06,3,6,F,  
201201122012043003,1,01,1,44,M,04
201201122012043003,2,01,2,28,M,04
201201122012043003,3,01,3,56,M,02
20120112A160-2012-00459A,1,01,1,40,M,02
20120112A160-2012-00534A,1,01,1,22,M,03
20120112A160-2012-00534A,1,03,2,30,M,02
20120113A160-2012-00735A,1,01,1,22,M,02
20120113A160-2012-00735A,1,03,2,29,M,03
20120113A160-2012-00735A,1,04,3,60,F,03
20120113I-2012-07565,1,01,1,85,F,02
20120113I-2012-08917,1,01,1,21,F,  
20120113I-2012-08917,2,01,2,63,M,02
20120113I-2012-08917,2,04,3,58,F,02
20120113I-2012-10770,1,01,1,39,F,02
20120113I-2012-10770,1,03,2,14,F,03
20120113I-2012-10770,1,04,3,17,F,03
20120113I-2012-10770,1,06,4,15,F,03
20120113I-2012-10770,2,01,5,70,M,02
20120113I-2012-10770,2,03,6,64,F,02
20120113I-2012-10770,3,01,7,19,M,04
20120113I-2012-10770,3,03,8,19,F,03
20120113I-2012-15853,1,01,1,26,M,03
20120113I-2012-15853,2,01,2,48,M,02
20120113I-2012-15853,3,01,3,83,M,  
20120113I-2012-15853,3,03,4,75,F,  
20120113I-2012-15853,3,04,5,75,F,  
20120113I-2012-16551,1,01,1,31,M,  
20120113I-2012-16551,1,03,2,,M,02
20120113I-2012-20510,1,01,1,57,M,02
20120113I-2012-20510,2,01,2,49,M,04
20120113I-2012-20510,2,03,3,17,M,  
2012011612-14310,1,01,1,61,M,  
20120117I-2012-003459,1,01,1,25,M,02
20120117I-2012-007990,1,01,1,23,M,02
20120119I-2012-005366,1,01,1,21,M,02
20120119I-2012-037136,1,01,1,51,M,02
20120119I-2012-037136,2,01,2,24,M,  
20120119I-2012-037136,2,03,3,28,F,  
20120119I-2012-037136,2,04,4,21,F,04
20120119I-2012-037136,2,05,5,17,F,  
20120119I-2012-037136,2,06,6,23,M,  
20120119I-2012-0421?0,1,01,1,45,F,  
20120119I-2012-0421?0,1,03,2,48,M,04
20120121I-2012-008702,1,01,1,40,F,03
20120121I-2012-008702,2,01,2,43,M,04
20120121I-2012-008702,2,03,3,82,F,02
20120122I-2012-11424,1,01,1,79,F,02
20120122I-2012-14211,1,01,1,24,M,02
20120122I-2012-14211,1,03,2,45,M,02
20120122I-2012-14211,1,04,3,16,M,04
20120122I-2012-14211,1,06,4,44,F,04
20120122I-2012-14211,2,01,5,41,M,03
20120122I-2012-14211,2,03,6,29,M,04
20120122I-2012-15868,1,01,1,78,M,02
20120122I-2012-15868,2,01,2,33,M,  
2012020312-00434,1,01,1,94,M,02
2012020312-08381,1,01,1,63,F,02
2012020412-11548,1,01,1,23,F,02
2012020512-00155,1,01,1,42,M,02
2012020512-00155,2,01,2,49,M,  
2012020512-01263,1,01,1,34,F,02
20120206I-2012-002826,1,01,1,39,M,02
20120206I-2012-003006,1,01,1,44, ,  
20120206I-2012-007725,1,01,1,50,M,02
20120206I-2012-007725,2,01,2,28,M,  
20120206I-2012-009823,1,01,1,23,M,  
20120206I-2012-023769,1,01,1,35,M,02
201202072012-001215,1,01,1,56,M,  
201202072012-001215,1,03,2,84,F,  
201202072012-005380,2,01,1,48,M,  
20120209DP-12-00441,1,01,1,57,F,  
201202112012-005325,1,01,1,21,M,02
20120212ER-12-11549,1,01,1,55,M,  
20120212ER-12-11549,2,01,2,68,M,02
201202142012:33123,2,01,1,39,M,02
20120215BC12-013950,1,01,1,60,F,02
20120215BC12-013950,2,01,2,23,F,02
20120215BC12-013950,3,01,3,28,F,04
20120215I-2012-028272,1,01,1,43,F,  
20120215I-2012-028272,1,03,2,47,M,  
20120215I-2012-028272,1,03,3,10,F,  
20120215I-2012-028272,1,04,4,3,M,  
20120215R111-12,1,01,1,54,M,04
20120215R111-12,2,01,2,31,F,02
20120215R151-12,1,01,1,36,M,  
20120215R281-12,1,01,1,41,F,03
20120215R281-12,2,01,2,41,M,02
20120216I-2012-002248,1,01,1,23,M,  
20120216I-2012-002248,1,03,2,18,F,04
20120216I-2012-002248,2,01,3,66,M,04
20120216I-2012-002248,2,03,4,62,M,02
2012021712-12037,1,01,1,27,M,03
2012021712-12037,1,03,2,27,F,02
2012021712-12037,1,06,3,22,F,03
2012021712-12037,2,01,4,48,M,04
2012021712-17250,1,01,1,85,F,04
2012021712-17250,1,03,2,85,F,03
2012021712-17250,2,01,3,27,F,02
2012021712-17250,2,03,4,21,M,03
20120219BC-12-035621,1,01,1,27,F,02
2012022012-12921,1,01,1,45,F,  
2012022012-6474,1,01,1,74,M,02
2012022012-9957,1,01,1,26,M,  
20120221I-2012-007894,1,01,1,36,F,  
20120221I-2012-007894,2,01,2,40,M,02
20120221I-2012-032138,1,01,1,30,M,02
20120221I-2012-032138,1,03,2,31,M,  
20120222I-2012-005393,1,01,1,33,M,02
2012022312-67837,1,01,1,50,F,  
2012022312-83794,1,01,1,64,F,  
2012022312-89549,1,01,1,51,M,04
20120225I-2012-01058,1,01,1,21,M,02
201202271213130,1,01,1,77,M,02
201202271213130,2,01,2,17,F,02
201202271213130,3,01,3,56,M,02
201202271213130,3,03,4,57,F,02
2012022929-12-001928-040,1,01,1,18,F,  
20120229D030-2012-02031A,1,01,1,36,M,  
20120229D030-2012-02031A,2,01,2,64,F,03
20120229D030-2012-02031A,2,03,3,48,M,02
20120229D030-2012-02031A,2,06,4,15,F,02
20120229D030-2012-02031A,3,01,1,51,M,  
201202312012-000228,1,01,1,20,M,  
201202312012-000228,1,03,2,13,M,  
2012023212-05473,1,01,1,26,M,02
2012023212-05473,2,01,2,53,F,  
2012023312-03619,1,01,1,20,M,02
2012023312-10709,1,01,1,36,F,  
2012023312-10709,1,04,2,5,M,  
2012023312-10709,2,01,3,20,F,02
2012023312-13107,1,01,1,63,F,02
2012023312-18058,1,01,1,50,M,02
201202342012-000142,1,01,1,, ,  
2012023612-144,1,01,1,20,M,02
2012023612-144,2,01,2,82,M,  
2012023612-221,1,01,1,49,F,  
201202382012-002339,1,01,1,19,M,04
201202382012-002339,2,01,2,50,F,02
201202382012-002339,2,06,3,13,F,03
201202382012-004776,1,01,1,42,F,04
201202382012-004776,2,01,2,43,M,02
2012023912-6828,1,01,1,60,M,02
