state_accident_id, vehicle_number, age, sex, person_type, injury_severity
14305034, 2, 27.0, 2.0, DRIVER, U - UNKNOWN
14305034, 1, 65.0, 1.0, DRIVER, U - UNKNOWN
14318820, 1, 68.0, 2.0, DRIVER, U - UNKNOWN
14308066, 2, 27.0, 1.0, DRIVER, U - UNKNOWN
14308066, 1, 63.0, 1.0, DRIVER, U - UNKNOWN
14330801, 1, 44.0, 1.0, DRIVER, U - UNKNOWN
14330801, 2, 32.0, 1.0, DRIVER, U - UNKNOWN
14336977, 1, 22.0, 1.0, DRIVER, U - UNKNOWN
14318853, 1, 66.0, 2.0, DRIVER, U - UNKNOWN
14308076, 1, 64.0, 2.0, DRIVER, U - UNKNOWN
14333621, 1, 45.0, 1.0, DRIVER, U - UNKNOWN
14308079, 1, 22.0, 1.0, DRIVER, U - UNKNOWN
14308079, 2, 55.0, 1.0, DRIVER, U - UNKNOWN
14325864, 1, 49.0, 1.0, DRIVER, U - UNKNOWN
14311705, 1, 51.0, 1.0, DRIVER, U - UNKNOWN
14315804, 3, 43.0, 2.0, DRIVER, U - UNKNOWN
14315804, 1, 44.0, 2.0, DRIVER, U - UNKNOWN
14315804, 2, 71.0, 1.0, DRIVER, U - UNKNOWN
14323171, 1, 52.0, 1.0, DRIVER, U - UNKNOWN
14323171, 2, 31.0, 1.0, DRIVER, U - UNKNOWN
14305112, 1, 18.0, 1.0, DRIVER, U - UNKNOWN
14308152, 1, 19.0, 2.0, DRIVER, U - UNKNOWN
14308152, 2, 35.0, 2.0, DRIVER, U - UNKNOWN
14292946, 1, 54.0, 2.0, DRIVER, U - UNKNOWN
14333700, 1, 64.0, 2.0, DRIVER, U - UNKNOWN
14333700, 2, 44.0, 2.0, DRIVER, U - UNKNOWN
14311780, 1, 18.0, 1.0, DRIVER, U - UNKNOWN
14325944, 1, 85.0, 1.0, DRIVER, U - UNKNOWN
14325944, 2, 38.0, 2.0, DRIVER, U - UNKNOWN
14325945, 2, 60.0, 1.0, DRIVER, U - UNKNOWN
14325945, 1, 19.0, 2.0, DRIVER, U - UNKNOWN
14325946, 2, 31.0, 2.0, DRIVER, U - UNKNOWN
14325946, 3, 66.0, 1.0, DRIVER, U - UNKNOWN
14325946, 1, 85.0, 1.0, DRIVER, U - UNKNOWN
14325962, 1, 75.0, 1.0, DRIVER, U - UNKNOWN
14318949, 1, 36.0, 1.0, DRIVER, U - UNKNOWN
14311789, 1, 63.0, 1.0, DRIVER, U - UNKNOWN
14325966, 1, 86.0, 1.0, DRIVER, U - UNKNOWN
14325966, 2, 59.0, 1.0, DRIVER, U - UNKNOWN
14325968, 1, 63.0, 2.0, DRIVER, U - UNKNOWN
14325970, 1, 20.0, 1.0, DRIVER, U - UNKNOWN
14325972, 1, 52.0, 1.0, DRIVER, U - UNKNOWN
14325973, 1, 21.0, 1.0, DRIVER, U - UNKNOWN
14315919, 2, 74.0, 1.0, DRIVER, U - UNKNOWN
14315919, 1, 35.0, 2.0, DRIVER, U - UNKNOWN
14330909, 1, 36.0, 2.0, DRIVER, U - UNKNOWN
14330909, 2, 40.0, 2.0, DRIVER, U - UNKNOWN
14325974, 1, 22.0, 1.0, DRIVER, U - UNKNOWN
14325974, 2, 21.0, 1.0, DRIVER, U - UNKNOWN
14337062, 1, 79.0, 2.0, DRIVER, U - UNKNOWN
14337062, 2, 45.0, 2.0, DRIVER, U - UNKNOWN
14337064, 1, 50.0, 2.0, DRIVER, U - UNKNOWN
14337072, 1, 43.0, 2.0, DRIVER, U - UNKNOWN
14308191, 1, 33.0, 2.0, DRIVER, U - UNKNOWN
14323277, 1, 27.0, 2.0, DRIVER, U - UNKNOWN
14323277, 2, 20.0, 1.0, DRIVER, U - UNKNOWN
14330952, 1, 36.0, 1.0, DRIVER, U - UNKNOWN
14326582, 1, 46.0, 1.0, DRIVER, U - UNKNOWN
14326582, 2, 57.0, 1.0, DRIVER, U - UNKNOWN
14301884, 1, 17.0, 1.0, DRIVER, U - UNKNOWN
14301884, 2, 22.0, 1.0, DRIVER, U - UNKNOWN
