state_accident_id,vehicle_number,age,sex,person_type,injury_severity
17131262,2,42.0,1.0,DRIVER,U - UNKNOWN
17131262,1,67.0,2.0,DRIVER,U - UNKNOWN
17131562,3,54.0,1.0,DRIVER,U - UNKNOWN
17131562,1,44.0,1.0,DRIVER,U - UNKNOWN
17133397,2,56.0,2.0,DRIVER,U - UNKNOWN
17133397,1,24.0,1.0,DRIVER,U - UNKNOWN
17133650,1,42.0,1.0,DRIVER,U - UNKNOWN
17134024,1,20.0,1.0,DRIVER,U - UNKNOWN
17134087,1,35.0,1.0,DRIVER,U - UNKNOWN
17135332,2,47.0,2.0,DRIVER,U - UNKNOWN
17135332,1,61.0,2.0,DRIVER,U - UNKNOWN
17135343,1,34.0,1.0,DRIVER,U - UNKNOWN
17135751,1,48.0,2.0,DRIVER,U - UNKNOWN
17135751,2,27.0,2.0,DRIVER,U - UNKNOWN
17135794,2,74.0,1.0,DRIVER,U - UNKNOWN
17135794,1,31.0,1.0,DRIVER,U - UNKNOWN
17135794,3,42.0,2.0,DRIVER,U - UNKNOWN
17135885,1,27.0,1.0,DRIVER,U - UNKNOWN
17135885,2,51.0,1.0,DRIVER,U - UNKNOWN
17136009,1,36.0,2.0,DRIVER,U - UNKNOWN
17136076,1,17.0,2.0,DRIVER,U - UNKNOWN
17136357,1,25.0,1.0,DRIVER,U - UNKNOWN
17136412,1,42.0,1.0,DRIVER,U - UNKNOWN
17136412,2,35.0,1.0,DRIVER,U - UNKNOWN
17136626,3,63.0,2.0,DRIVER,U - UNKNOWN
17136626,1,37.0,2.0,DRIVER,U - UNKNOWN
17136626,2,86.0,2.0,DRIVER,U - UNKNOWN
17136787,1,43.0,2.0,DRIVER,U - UNKNOWN
17136838,1,26.0,1.0,DRIVER,U - UNKNOWN
17136844,1,31.0,1.0,DRIVER,U - UNKNOWN
17136926,2,31.0,1.0,DRIVER,U - UNKNOWN
17136926,1,36.0,1.0,DRIVER,U - UNKNOWN
