state_accident_id,vehicle_number,body_type
13012729,1,BUS (OMNIBUS)
13015472,1,SUBURBAN
13020868,1,PICK-UP TRUCK
13020869,1,4 DOOR SEDAN
13020873,2,SUBURBAN
13020873,1,PICK-UP TRUCK
13021180,1,4 DOOR SEDAN
13021304,1,2 DOOR SEDAN
13021406,2,4 DOOR SEDAN
13021406,1,4 DOOR SEDAN
13021717,1,4 DOOR SEDAN
13021767,2,4 DOOR SEDAN
13021767,1,PICK-UP TRUCK
13021783,2,2 DOOR SEDAN
13021783,1,SUBURBAN
13021873,2,2 DOOR SEDAN
13021873,1,4 DOOR SEDAN
13022051,1,FIRE
13022051,2,4 DOOR SEDAN
13022359,1,4 DOOR SEDAN
13022928,1,SUBURBAN
13023005,1,4 DOOR SEDAN
13023005,2,PICK-UP TRUCK
13023006,1,PICK-UP TRUCK
13023067,2,SUBURBAN
13023067,1,SUBURBAN
13023128,1,PICK-UP TRUCK
13023392,1,SUBURBAN
13023532,1,4 DOOR SEDAN
13023532,2,SUBURBAN
13023541,1,4 DOOR SEDAN
13023541,2,PICK-UP TRUCK
13023613,1,SUBURBAN
13024101,1,4 DOOR SEDAN
13024405,1,4 DOOR SEDAN
13024753,1,SUBURBAN
13024847,1,4 DOOR SEDAN
13024847,2,4 DOOR SEDAN
13025005,1,SUBURBAN
13025080,1,4 DOOR SEDAN
13025080,2,PICK-UP TRUCK
13025248,1,SUBURBAN
13025248,2,4 DOOR SEDAN
13025324,1,4 DOOR SEDAN
13025324,2,4 DOOR SEDAN
13025931,1,SUBURBAN
13025931,2,4 DOOR SEDAN
13026131,1,4 DOOR SEDAN
13028706,1,UNKNOWN VEHICLE
13028706,2,PICK-UP TRUCK
13028762,1,4 DOOR SEDAN
13028794,2,4 DOOR SEDAN
13028794,1,4 DOOR SEDAN
13028826,2,4 DOOR SEDAN
13028826,1,SUBURBAN
13028911,1,4 DOOR SEDAN
13028911,2,PICK-UP TRUCK
13028912,1,UTILITY TRUCK
13028912,2,4 DOOR SEDAN
13029056,1,4 DOOR SEDAN
13029104,1,SUBURBAN
13029104,2,4 DOOR SEDAN
13029162,1,4 DOOR SEDAN
13029162,2,4 DOOR SEDAN
13029361,1,4 DOOR SEDAN
13029477,1,4 DOOR SEDAN
13029527,1,4 DOOR SEDAN
13029561,1,SUBURBAN
13029664,1,2 DOOR SEDAN
13029664,2,VAN TRUCK
13029665,1,PICK-UP TRUCK
13029683,1,DELIVERY TRUCK
13029683,2,4 DOOR SEDAN
13029683,3,4 DOOR SEDAN
13029683,4,4 DOOR SEDAN
13029891,1,4 DOOR SEDAN
13030095,1,4 DOOR SEDAN
13030095,2,2 DOOR SEDAN
13030103,3,4 DOOR SEDAN
13030103,2,2 DOOR SEDAN
13030103,1,2 DOOR SEDAN
13030119,1,4 DOOR SEDAN
13030124,1,SUBURBAN
13030131,2,BUS (OMNIBUS)
13030131,1,4 DOOR SEDAN
13030235,1,4 DOOR SEDAN
13030235,2,SUBURBAN
13030417,1,4 DOOR SEDAN
13030417,2,SUBURBAN
13030448,1,PICK-UP TRUCK
13030529,1,4 DOOR SEDAN
13030529,2,SUBURBAN
13030573,1,4 DOOR SEDAN
13030573,2,4 DOOR SEDAN
13030649,2,2 DOOR SEDAN
13030649,1,PICK-UP TRUCK
13030734,1,4 DOOR SEDAN
