state_accident_id, vehicle_number, body_type
13869600, 1, SUBURBAN
13872970, 1, PICK-UP TRUCK
13880521, 1, 2 DOOR SEDAN
13880521, 2, 4 DOOR SEDAN
13901510, 1, 4 DOOR SEDAN
13901510, 2, 2 DOOR SEDAN
13880745, 1, 2 DOOR SEDAN
13880745, 2, SUBURBAN
13870229, 1, 2 DOOR SEDAN
13870369, 1, PICK-UP TRUCK
13894529, 1, 4 DOOR SEDAN
13894529, 2, SUBURBAN
13901612, 1, 4 DOOR SEDAN
13876628, 1, 4 DOOR SEDAN
13876628, 2, SUBURBAN
13876685, 1, 4 DOOR SEDAN
13876685, 2, SUBURBAN
13894555, 1, SUBURBAN
13894556, 1, PICK-UP TRUCK
13876712, 1, 4 DOOR SEDAN
13876724, 1, SUBURBAN
13876724, 2, 4 DOOR SEDAN
13905026, 1, SUBURBAN
13905028, 1, SUBURBAN
13905352, 1, SUBURBAN
13905352, 2, 4 DOOR SEDAN
13908661, 1, 4 DOOR SEDAN
13908661, 2, SUBURBAN
13897997, 1, SUBURBAN
13870567, 1, 2 DOOR SEDAN
13887970, 1, UNKNOWN VEHICLE
13870589, 1, SUBURBAN
13901666, 1, 4 DOOR SEDAN
13901666, 2, SUBURBAN
13905408, 1, TRACTOR
13905408, 2, UNKNOWN TRUCK
13905408, 3, UNKNOWN VEHICLE
13887991, 1, UNKNOWN VEHICLE
13887991, 2, SUBURBAN
13887991, 3, SUBURBAN
13905409, 1, SUBURBAN
13898051, 1, 2 DOOR SEDAN
13905530, 1, 4 DOOR SEDAN
13888053, 1, UNKNOWN VEHICLE
13880815, 1, SUBURBAN
13880815, 2, SUBURBAN
13898092, 1, 4 DOOR SEDAN
13898092, 2, SUBURBAN
13898092, 3, 4 DOOR SEDAN
13876902, 1, PICK-UP TRUCK
13876902, 2, PICK-UP TRUCK
13888143, 1, PICK-UP TRUCK
13888143, 2, 4 DOOR SEDAN
13888144, 1, 2 DOOR SEDAN
13888145, 1, 4 DOOR SEDAN
13888147, 1, 4 DOOR SEDAN
13888147, 2, 4 DOOR SEDAN
13912119, 1, 2 DOOR SEDAN
13912119, 2, TRACTOR
13876922, 1, 4 DOOR SEDAN
13912144, 1, 4 DOOR SEDAN
13912144, 2, SUBURBAN
13912144, 3, 4 DOOR SEDAN
13912147, 1, 4 DOOR SEDAN
13912147, 2, 4 DOOR SEDAN
13908967, 1, 2 DOOR SEDAN
13876999, 1, 4 DOOR SEDAN
13876999, 2, PICK-UP TRUCK
