,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,ARRIVAL_TM,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
40,2009000333,41.5832,-80.2987,20,20220,1,5,,,2,0,7
72,2009000470,39.958683,-76.745149,66,66301,1,6,,,0,1,8
114,2009001346,40.369369,-75.247861,9,9210,1,7,,,1,0,4
144,2009001436,40.223539,-76.928041,21,21102,1,5,,,1,0,7
211,2009001568,40.773676,-79.437009,3,3211,1,6,,,2,0,4
217,2009001587,40.450088,-77.964005,31,31209,1,6,,,1,0,0
243,2009001682,41.7947,-78.5998,42,42209,1,6,,,1,0,7
251,2009001706,40.193721,-77.16388,21,21213,1,7,,,3,0,7
398,2009002501,40.431178,-75.282368,9,9207,1,2,,,0,1,7
448,2009002672,40.6757,-80.1869,4,4211,1,3,,,1,0,4
467,2009002724,40.914047,-79.939092,10,10205,1,3,,,1,0,7
497,2009002830,39.8448,-79.0525,55,55224,1,5,,,1,0,2
499,2009002838,40.158124,-74.915391,9,9413,1,6,,,0,1,8
533,2009002893,39.886326,-75.331084,23,23107,1,4,,,1,0,1
598,2009003053,40.587394,-79.761299,64,64305,1,4,,,1,0,7
646,2009003458,40.324833,-77.611781,50,50217,1,3,,,1,0,7
651,2009003500,40.883839,-75.125897,48,48214,1,7,,,1,0,7
671,2009003545,41.574024,-80.315015,20,20220,1,4,,,1,0,2
700,2009003590,39.90876,-75.283893,23,23405,1,3,,,1,0,8
718,2009003630,42.178832,-79.931637,25,25210,1,3,,,1,0,7
874,2009003983,40.180538,-75.425554,46,46208,1,1,,,1,0,7
892,2009004007,41.179414,-79.395643,16,16213,1,5,,,1,0,7
906,2009004031,39.8536,-76.2687,36,36224,1,4,,,1,0,7
928,2009004075,40.863809,-79.88815,10,10301,1,6,,,0,2,7
957,2009004176,41.202173,-79.950394,60,60208,1,3,,,1,0,8
1011,2009004255,40.4954,-79.8068,2,2113,1,7,,,1,0,7
1079,2009004355,40.099101,-74.947573,9,9202,1,7,,,0,1,7
1113,2009004393,40.302821,-78.929992,11,11301,1,6,,,1,1,7
1277,2009004631,40.729061,-79.824388,10,10209,1,7,,,1,0,4
1279,2009004633,41.38306,-80.254867,43,43218,1,6,,,1,0,7
1413,2009004806,40.484386,-80.201833,2,2213,1,1,,,1,0,7
1472,2009004894,41.154275,-77.148663,41,41218,1,5,,,1,0,0
1683,2009005218,40.289299,-78.875497,11,11416,1,4,,,1,0,2
1689,2009005226,40.118563,-75.247868,46,46224,1,6,,,1,0,7
1739,2009005299,40.685987,-79.012375,32,32209,1,7,,,1,0,6
1776,2009005363,40.22951,-76.97124,21,21103,1,2,,,1,0,2
1886,2009005535,40.057105,-75.097265,46,46102,1,3,,,0,1,7
1969,2009005638,41.070606,-77.598359,14,14213,1,7,,,0,1,7
1987,2009005674,41.166116,-76.522719,19,19220,1,4,,,1,0,7
2053,2009006431,42.001667,-80.161733,25,25212,1,3,,,1,0,1
2060,2009006439,40.357061,-77.886419,31,31220,1,5,,,1,0,7
2175,2009006624,40.208206,-74.905881,9,9213,1,3,,,1,0,7
2205,2009006667,42.120315,-79.960576,25,25210,1,3,,,2,0,7
2216,2009006679,40.069771,-77.533175,21,21215,1,3,,,2,0,4
2237,2009006710,40.1399,-75.1669,46,46109,1,6,,,1,0,1
2314,2009006890,40.474725,-76.179367,6,6242,1,3,,,1,0,7
2431,2009007052,41.954948,-79.250512,61,61209,1,6,,,0,1,8
2549,2009007245,41.8782,-79.4122,61,61216,1,7,,,1,0,7
2590,2009007329,40.7928,-80.3781,4,4203,1,7,,,1,0,7
2597,2009007336,40.4289,-79.8637,2,2431,1,5,,,1,0,7
2634,2009007378,40.583299,-75.632353,39,39209,1,4,,,0,1,8
2642,2009007386,40.7355,-80.2342,4,4211,1,6,,,1,0,2
2652,2009007399,40.594102,-79.517529,3,3210,1,5,,,2,0,2
2724,2009007493,40.100655,-74.918307,9,9202,1,7,,,1,0,4
2845,2009007638,39.829608,-78.488586,5,5220,1,1,,,1,0,7
2894,2009007709,40.6533,-79.2747,32,32201,1,7,,,2,0,4
2902,2009007718,39.959005,-79.746389,26,26212,1,4,,,1,0,4
2928,2009007744,39.927718,-75.249176,23,23427,1,4,,,1,0,3
2970,2009007793,41.677652,-77.019855,58,58214,1,7,,,2,1,7
2983,2009007807,40.621544,-76.800377,22,22212,1,1,,,2,0,7
2987,2009007814,39.888235,-77.037398,1,1208,1,5,,,1,0,4
3085,2009007931,40.417194,-75.343808,9,9220,1,6,,,1,0,4
3173,2009008030,40.1496,-80.2052,62,62201,1,7,,,1,0,7
3182,2009008040,41.471172,-79.084894,27,27206,1,7,,,0,1,7
3202,2009008063,40.268321,-75.763136,6,6203,1,2,,,1,0,7
3305,2009008179,40.887923,-79.980779,10,10216,1,4,,,1,0,4
3335,2009008213,40.251744,-77.847855,31,31206,1,6,,,0,1,7
3388,2009008278,39.995894,-75.081618,67,67301,1,5,,,1,0,7
3439,2009008343,40.276873,-75.791078,6,6203,1,2,,,1,0,7
3463,2009008382,40.41235,-79.920702,2,2301,1,1,,,2,1,4
3559,2009008487,40.865413,-77.865409,14,14201,1,4,,,1,0,2
3573,2009008506,40.577351,-75.799989,6,6215,1,7,,,1,0,7
3590,2009008527,40.049725,-75.109559,46,46102,1,3,,,1,0,4
3637,2009008587,41.194251,-79.572744,16,16202,1,4,,,1,0,7
3638,2009008588,41.176434,-79.349403,16,16204,1,6,,,1,0,7
3692,2009008658,40.48589,-76.53157,38,38214,1,1,,,1,0,0
3737,2009008744,40.835026,-76.83549,54,54405,1,7,,,1,1,2
3746,2009008766,40.252961,-75.206652,9,9227,1,7,,,1,0,7
3796,2009008920,40.568399,-79.752486,64,64305,1,4,,,2,1,4
3799,2009008924,40.102066,-74.863321,9,9401,1,6,,,1,0,5
3804,2009008933,40.613874,-79.947307,2,2207,1,1,,,1,0,4
3826,2009008956,39.98146,-75.813563,15,15301,1,5,,,1,0,4
3840,2009008974,39.949369,-76.684102,66,66101,1,1,,,1,0,7
3877,2009009019,40.656365,-77.074454,34,34208,1,7,,,0,1,7
3966,2009009213,40.20972,-74.776488,9,9409,1,2,,,1,0,8
3969,2009009216,40.355892,-75.948947,6,6301,1,1,,,1,0,7
