,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,HOUR_OF_DAY,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
12,2020028654,41.642868,-80.139014,20,20301,3,7,,,1,0,6
42,2020029626,40.284998,-76.412481,38,38402,2,3,,,1,0,7
86,2020007600,40.302234,-79.518979,64,64209,1,4,,,0,1,7
93,2020023799,40.583792,-77.605253,44,44206,2,7,,,1,0,7
94,2020029378,40.886674,-76.94501,59,59208,3,3,,,1,0,7
137,2020007637,41.813831,-75.450486,63,63217,1,7,,,1,0,7
186,2020020534,40.629475,-79.150734,32,32408,2,3,,,1,0,2
203,2020007201,39.888997,-77.335942,1,1205,1,1,,,1,0,0
256,2020022198,40.750967,-80.319491,4,4301,2,5,,,1,0,1
273,2020008187,40.096776,-78.458378,5,5201,1,6,,,1,0,7
278,2020022550,41.971449,-77.620156,52,52208,2,3,,,1,0,2
305,2020007870,40.198919,-77.152113,21,21206,1,1,,,0,1,7
395,2020006918,40.511034,-79.652251,64,64219,1,3,,,2,0,4
418,2020022612,40.007626,-75.295309,46,46104,2,5,,,0,1,8
434,2020007634,40.571029,-77.211145,34,34202,1,7,,,1,0,1
471,2020003108,40.595624,-77.581447,44,44403,1,5,,,0,1,4
497,2020009126,40.558612,-75.999997,6,6238,1,6,,,2,0,2
571,2020006753,40.489472,-75.637715,6,6219,1,1,,,0,1,7
619,2020003903,41.240657,-75.871201,40,40304,1,7,,,1,0,8
657,2020016281,40.078884,-75.030204,67,67301,2,2,,,0,1,8
692,2020009326,40.01025,-76.131025,36,36226,1,5,,,0,1,2
698,2020022701,39.730435,-75.846652,15,15217,2,4,,,1,0,2
736,2020021848,40.786701,-77.62107,14,14218,2,5,,,1,0,7
743,2020023053,40.389881,-77.030436,50,50403,2,5,,,1,0,7
806,2020022953,40.030908,-79.120361,55,55221,2,7,,,3,0,4
816,2020007605,40.19406,-77.165712,21,21213,1,5,,,1,0,4
835,2020023395,41.080665,-76.692382,47,47201,2,6,,,1,0,7
881,2020005577,40.272684,-76.870147,22,22301,1,5,,,1,0,7
889,2020007630,40.533952,-75.948908,6,6244,1,7,,,1,0,2
900,2020022693,40.20081,-78.0661,31,31225,2,7,,,0,1,7
1180,2020021768,40.354846,-76.39976,38,38209,2,7,,,1,0,4
1182,2020008118,40.986324,-76.711448,47,47204,1,6,,,1,0,1
1203,2020007019,41.367705,-75.602306,35,35217,1,1,,,0,1,7
1231,2020021534,40.124773,-75.293195,46,46107,2,4,,,1,0,4
1239,2020023611,40.155269,-79.435633,64,64212,1,1,,,0,1,7
1266,2020008053,40.964987,-76.619325,47,47401,1,5,,,1,0,8
1275,2020007759,39.923766,-75.25923,23,23407,1,2,,,1,0,7
1411,2020028275,40.307773,-75.357644,46,46203,3,7,,,1,0,4
1428,2020022637,40.322811,-78.804527,11,11201,2,1,,,1,0,7
1449,2020023007,40.036031,-76.214175,36,36215,2,6,,,1,0,4
1484,2020029175,39.772662,-78.171419,29,29203,3,3,,,1,0,7
1485,2020010811,40.025787,-76.209138,36,36215,1,5,,,1,0,4
1507,2020029527,40.02893,-76.227158,36,36215,3,5,,,1,0,7
1529,2020012143,39.941689,-75.272817,23,23412,1,6,,,0,1,8
1555,2020023141,39.919104,-75.225428,67,67301,2,4,,,1,0,8
1583,2020027466,39.864971,-78.261647,29,29204,3,4,,,1,0,7
1585,2020010729,40.561226,-75.986603,6,6408,1,7,,,1,0,1
1599,2020002883,40.526801,-80.15991,2,2452,1,4,,,1,0,4
1602,2020023645,40.923235,-80.155456,10,10415,3,4,,,1,0,7
1614,2020002495,39.862921,-75.348873,23,23301,1,1,,,2,0,2
1651,2020000269,40.136436,-75.304989,46,46107,1,4,,,1,0,4
1660,2020029569,41.604896,-78.676869,24,24207,3,2,,,1,0,7
1665,2020027516,40.182923,-75.058336,9,9225,2,7,,,1,0,1
