,CRN,AGE,SEX,INJ_SEVERITY,UNIT_NUM,PERSON_TYPE
79,2022059915,71,M,2.0,1,1.0
80,2022059915,28,M,0.0,2,1.0
113,2022014748,22,M,3.0,1,1.0
114,2022014748,21,F,2.0,1,2.0
115,2022014748,47,M,4.0,2,1.0
125,2022079056,58,M,2.0,1,1.0
236,2022085768,20,M,0.0,1,1.0
280,2022092358,41,M,2.0,1,1.0
288,2022054023,37,M,0.0,1,1.0
289,2022054023,63,M,2.0,2,1.0
333,2022053115,22,M,2.0,1,1.0
478,2022121440,49,M,2.0,1,1.0
479,2022121440,6,F,4.0,1,2.0
480,2022121440,6,F,4.0,1,2.0
481,2022121440,51,M,0.0,2,1.0
488,2022024233,99,F,9.0,1,1.0
489,2022024233,78,F,2.0,2,7.0
508,2022046915,40,M,3.0,1,1.0
509,2022046915,34,F,1.0,1,2.0
625,2022101428,19,M,0.0,1,1.0
626,2022101428,19,F,2.0,1,2.0
711,2022093361,21,M,0.0,1,1.0
712,2022093361,56,M,2.0,2,1.0
713,2022093361,25,M,0.0,3,1.0
714,2022093361,50,M,0.0,4,1.0
715,2023016690,82,M,1.0,1,1.0
716,2023016690,38,M,3.0,2,1.0
717,2023016690,42,M,0.0,3,1.0
718,2023016690,12,M,0.0,3,2.0
719,2023016690,62,F,3.0,4,1.0
803,2022014274,41,M,2.0,1,1.0
804,2022014274,29,M,0.0,2,1.0
838,2022073213,48,F,0.0,1,1.0
839,2022073213,75,F,0.0,1,2.0
840,2022073213,19,F,2.0,2,7.0
865,2022048616,9,M,1.0,1,1.0
866,2022048616,28,M,0.0,2,1.0
867,2022048616,21,M,0.0,2,2.0
868,2022048616,27,F,3.0,2,2.0
869,2022048616,4,M,0.0,2,2.0
870,2022048616,3,M,0.0,2,2.0
916,2022098779,59,M,2.0,1,1.0
917,2022098779,59,F,2.0,1,2.0
918,2022098779,54,M,2.0,2,1.0
1006,2022022586,33,M,0.0,1,1.0
1007,2022022586,45,M,2.0,2,1.0
1020,2022052373,33,M,2.0,1,1.0
1021,2022052373,21,M,3.0,2,1.0
1025,2022085768,38,F,0.0,2,1.0
