,CRN,STREET_NAME
35,2019013254,CHURCH ST
43,2019037169,SR 0022 HW
44,2019037169,IMPERIAL INT/RAMP N RD
75,2019126796,SR 0209 HW
79,2019092876,SCHOENERSVILLE RD
123,2019090192,MOUNTAIN RD
177,2019040412,NORTH ST
178,2019040412,GUETTER ST
180,2019083272,ELECTRIC AV
201,2019078763,NATIONAL PK
212,2019101506,THIRTEENTH ST
241,2019035814,MORRIS ST
242,2019035814,S 17TH ST
250,2019099300,ROSE VALLEY RD
344,2019054907,PASSYUNK AV
398,2019107853,WALNUT ST
405,2019110916,E 15TH ST
407,2019110916,CHESTNUT ST
474,2019052825,ARBUCKLE RD
482,2019077464,LICKDALE RD
557,2019059734,WOODBURY PK
580,2019098812,SWAMP RD
581,2019098812,STATE PARK RD
582,2019098812,NEWTOWN BP
583,2019098812,NEWTOWN BP
584,2019098812,SWAMP RD
728,2019016749,SR 0287 HW
734,2019060822,4TH ST
735,2019060822,WATER ST
818,2019031615,MIDVALLEY RD
877,2019052421,THOMPSON RD
885,2019030300,SPRING RD
995,2019102680,LIBRARY RD
996,2020001650,BUSTLETON AV
1093,2019005308,HORROCKS ST
1094,2019005308,DYRE ST
1110,2019110042,N 2ND ST
1111,2019110042,OLEY ST
1191,2019057275,SR 0033 HW
1345,2019045325,FALLEN TROOPER MEM HW
1375,2019012069,HARMAIN DR
1376,2019012069,PENN AV
1377,2019012069,PENN AV
1412,2019014105,LEBANON AL
1413,2019014105,WHITE OAK ST
1445,2019091986,SHORT RD
1446,2019091986,UHLER RD
1517,2019016073,YOUNGSTOWN-POLAND RD
1636,2019099177,56TH ST
1637,2019099177,PINE ST
1703,2019031149,SPRINGFIELD RD
1704,2019031149,SPROUL RD
1705,2019031149,SPRINGFIELD RD
1776,2019098761,FRONT ST
1777,2019098761,GIRARD AV
1778,2019098761,GIRARD AV
1779,2019018383,DELAWARE EX
1864,2019022647,DIME RD
1865,2019022647,LAKEVIEW RD
