,CRN,UNIT_NUM,BODY_TYPE,VEH_TYPE,UNIT_TYPE,MODEL_YR,MAKE_CD,NON_MOTORIST,VINA_BODY_TYPE_CD,DVR_PRES_IND
77,2013124787,1,,31.0,30,,,0,,
78,2013124787,2,4.0,1.0,1,1997.0,OLDS,0,P4D,1.0
103,2013097291,1,15.0,6.0,1,2002.0,JEEP,0,T4W,1.0
104,2013097291,2,25.0,2.0,1,2005.0,YAMA,0,MMS,1.0
130,2013072934,1,15.0,6.0,1,2002.0,FORD,0,PUT,1.0
131,2013072934,2,4.0,1.0,1,2002.0,FORD,0,P4D,1.0
132,2013072934,3,4.0,1.0,1,2004.0,TOYT,0,P4D,1.0
283,2013124998,1,4.0,1.0,1,1999.0,PLYM,0,P4D,1.0
284,2013124998,2,51.0,4.0,1,1996.0,NISS,0,TPC,1.0
287,2013092711,1,51.0,4.0,1,2004.0,TOYT,0,TCW,1.0
288,2013092711,2,12.0,7.0,1,1998.0,NISS,0,PSV,1.0
289,2013092711,3,1.0,1.0,1,1998.0,VOLK,0,PCV,1.0
290,2013092711,4,4.0,1.0,1,2011.0,CHEV,0,P4D,1.0
408,2013096446,1,28.0,2.0,1,2007.0,SUZI,0,MRC,1.0
460,2013129794,1,15.0,6.0,1,2001.0,GMC,0,T4W,1.0
461,2013129794,2,4.0,1.0,1,2000.0,NISS,0,P4D,1.0
518,2013019948,1,4.0,1.0,1,2006.0,CHEV,0,P4D,1.0
566,2013085309,1,12.0,6.0,1,2007.0,JEEP,0,T2W,1.0
567,2013085309,2,,31.0,30,,,0,,
917,2013079848,1,4.0,1.0,1,2004.0,STRN,0,P4D,1.0
918,2013079848,2,20.0,2.0,1,2006.0,HOND,0,MRS,1.0
935,2014019108,1,4.0,1.0,1,2012.0,HOND,0,P4D,1.0
936,2014019108,2,,31.0,30,,,0,,
1027,2013085600,1,20.0,2.0,1,2006.0,HD,0,MRS,1.0
1029,2013132451,1,15.0,6.0,1,2002.0,FORD,0,PUT,1.0
1057,2013116206,1,15.0,6.0,1,2004.0,DODG,0,PUT,1.0
