City|State short|State full|County|City alias|City zip codes
Holtsville|NY|New York|SUFFOLK|Internal Revenue Service|00501 00544 11742
Holtsville|NY|New York|SUFFOLK|Holtsville|00501 00544 11742
Adjuntas|PR|Puerto Rico|ADJUNTAS|URB San Joaquin|00601 00631
Adjuntas|PR|Puerto Rico|ADJUNTAS|Jard De Adjuntas|00601 00631
Adjuntas|PR|Puerto Rico|ADJUNTAS|Colinas Del Gigante|00601 00631
Adjuntas|PR|Puerto Rico|ADJUNTAS|Adjuntas|00601 00631
Aguada|PR|Puerto Rico|AGUADA|Comunidad Las Flores|00602
Aguada|PR|Puerto Rico|AGUADA|URB Isabel La Catolica|00602
Aguada|PR|Puerto Rico|AGUADA|Alts De Aguada|00602
Aguada|PR|Puerto Rico|AGUADA|Bo Guaniquilla|00602
Aguada|PR|Puerto Rico|AGUADA|Aguada|00602
Aguada|PR|Puerto Rico|AGUADA|Ext Los Robles|00602
Aguadilla|PR|Puerto Rico|AGUADILLA|Ramey|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Aguadilla|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Repto Lopez|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|URB Maleza Gdns|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|URB Victoria|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Repto Tres Palmas|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Sect Las Villas|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|URB Garcia|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Villa Linda|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Villa Universitaria|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Bo Ceiba Baja|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|URB Borinquen|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Villa Alegria|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Vista Alegre|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|URB San Carlos|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Bda Caban|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Ext El Prado|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|URB Esteves|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|URB Ramey|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Villas De Almeria|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Bda Esteves|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|URB Las Americas|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|URB Las Casitas Country Club|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|URB Santa Marta|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Ext Marbella|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Repto Juan Aguiar|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Villa Lydia|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Bo Borinquen|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Repto Jimenez|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|URB El Prado|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|URB Marbella|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|URB Rubianes|00603 00604 00605
Aguadilla|PR|Puerto Rico|AGUADILLA|Vista Verde|00603 00604 00605
Maricao|PR|Puerto Rico|MARICAO|Maricao|00606
Maricao|PR|Puerto Rico|MARICAO|URB San Juan Bautista|00606
Anasco|PR|Puerto Rico|ANASCO|Anasco|00610
Anasco|PR|Puerto Rico|ANASCO|Jard De Anasco|00610
Anasco|PR|Puerto Rico|ANASCO|Repto Daguey|00610
Anasco|PR|Puerto Rico|ANASCO|URB San Antonio|00610
Anasco|PR|Puerto Rico|ANASCO|Brisas De Anasco|00610
Anasco|PR|Puerto Rico|ANASCO|Paseo Del Valle|00610
Anasco|PR|Puerto Rico|ANASCO|Est De Valle Verde|00610
Angeles|PR|Puerto Rico|UTUADO|Angeles|00611
Arecibo|PR|Puerto Rico|ARECIBO|Comunidad Buenos Aires|00612 00613 00614
Arecibo|PR|Puerto Rico|ARECIBO|Ext Tanama|00612 00613 00614
Arecibo|PR|Puerto Rico|ARECIBO|Jard De San Rafael|00612 00613 00614
Arecibo|PR|Puerto Rico|ARECIBO|URB College Park Iv|00612 00613 00614
Arecibo|PR|Puerto Rico|ARECIBO|URB Los Pinos|00612 00613 00614
Arecibo|PR|Puerto Rico|ARECIBO|Villa Lucia|00612 00613 00614
Arecibo|PR|Puerto Rico|ARECIBO|Vista Del Atlantico|00612 00613 00614
Arecibo|PR|Puerto Rico|ARECIBO|Bo El Pasaje|00612 00613 00614
Arecibo|PR|Puerto Rico|ARECIBO|Hacienda Toledo|00612 00613 00614
Arecibo|PR|Puerto Rico|ARECIBO|Jard De Arecibo|00612 00613 00614
Arecibo|PR|Puerto Rico|ARECIBO|Parc Mattey|00612 00613 00614
